Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
70.0,"epidemic, social, psychological, government, distress, potentially, adverse, impact, slow, student",,
48.0,"function, severe, cytokine, monitoring, kidney, addition, protect, renal, storm, condition",,
28.0,"infection, ncov, rate, fever, combination, account, valuable, line, muscle, dyspnea",,
24.0,"respiratory, severe, incidence, acute, failure, meta, strengthen, case, shorten, professional",,
51.0,"day, period, average, generation, onset, median, significantly, earlier, standard, stay",,
27.0,"death, hospitalization, elderly, main, icu, require, predictor, person, system, develop",,
32.0,"patient, admission, abnormal, inflammation, proportion, coinfection, cellular, correction, concern, grass",,
12.0,"care, medical, resource, worker, prompt, home, provider, personnel, facility, expose",,
14.0,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass",,
28.0,"infection, ncov, rate, fever, combination, account, valuable, line, muscle, dyspnea",,
25.0,"pandemic, community, health, term, policy, system, strategy, economic, ongoing, area",,
64.0,"control, prevention, measure, strong, protective, bring, efficiently, introduce, infectiousness, key",,
40.0,"infection, virus, group, covid, high, flu, influenza, respiratory, upper, diagnose",,
49.0,"intervention, measure, outbreak, strict, implement, current, individual, maintain, decline, beijing",,
17.0,"mortality, reduce, early, series, woman, single, vulnerable, decrease, modify, pneumonia",,
3.0,"positive, negative, swab, show, throat, median, sample, stool, specimen, tract",,
14.0,"feature, lung, ggo, image, opacity, consolidation, peripheral, pulmonary, pattern, ground_glass",,
13.0,"outbreak, emergency, improve, response, effective, infectious, capacity, manage, detect, highly",,
64.0,"control, prevention, measure, strong, protective, bring, efficiently, introduce, infectiousness, key",,
68.0,"case, number, province, rate, confirm, february, hubei_province, increase, decrease, january",,
72.0,"case, confirm, suspect, newly, correlate, moderate, estimation, clinically, lag, step",,
