Abstract,Search
" 288 cases have been confirmed out of China from January 3 to February 13, 2020. We collected and synthesized all available information on these cases from official sources and media. We analyzed importations that were successfully isolated and those leading to onward transmission. We modeled their number over time, in relation to the origin of travel (Hubei province, other Chinese provinces, other countries) and interventions. We characterized importations timeline to assess the rapidity of isolation, and epidemiologically linked clusters to estimate the rate of detection. We found a rapid exponential growth of importations from Hubei, combined with a slower growth from the other areas. We predicted a rebound of importations from South East Asia in the upcoming weeks. Time from travel to detection has considerably decreased since the first importation, however 6 cases out of 10 were estimated to go undetected. Countries outside China should be prepared for the possible emergence of several undetected clusters of chains of local transmissions.","Lessons learnt from 288 COVID-19 international cases: importations over time, effect of interventions, underdetection of imported cases"
" We reviewed the literature for the epidemiological parameters: incubation period, infectious period, hospitalization period, hospitalized proportion, case fatality proportion, and R 0 . We included results from experimental and observational studies, as well as from systematic reviews when there were insufficient 1 . CC-BY-NC 4.0 International license It is made available under a is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. The copyright holder for this preprint .","Epidemiological parameter review and comparative dynamics of influenza, respiratory syncytial virus, rhinovirus, human coronavirus, and adenovirus"
" The apparent early success in China's large-scale intervention to control the COVID-19 epidemic has led to interest in whether other countries can replicate it as well as concerns about a resurgence of the epidemic if or when China relaxes the interventions. In this paper we look at the impact of a single short-term intervention on an epidemic. We see that if an intervention cannot be sustained long-term, it has the greatest impact if it is imposed once infection levels have become large enough that there is an appreciable number of infections present. For minimising the total number infected it should start close to the peak so that there is no rebound once the intervention is stopped, while to minimise the peak prevalence, it should start earlier, allowing two peaks of comparable size rather than one very large peak. In populations with distinct subgroups, synchronized interventions are less effective than targeting the interventions in each sub-population separately. We do not attempt to clearly determine what makes an intervention sustainable or not. We believe that is a policy question. If an intervention is sustainable, it should be kept in place. Our intent is to offer insight into how best to time an intervention whose impact on society is too great to maintain.",The timing of one-shot interventions for epidemic control
" School closure is often considered as an option to mitigate influenza epidemics because of its potential to reduce transmission in children and then in the community. The policy is still however highly debated because of controversial evidence. Moreover, the specific mechanisms leading to mitigation are not clearly identified. We introduced a stochastic spatial age-specific metapopulation model to assess the role of holiday-associated behavioral changes and how",The impact of regular school closure on seasonal influenza epidemics: a data-driven spatial transmission model for Belgium
" The outbreak of 2019-nCoV pneumonia in the city of Wuhan, China has resulted in more than 70,000 laboratory confirmed cases, and recent studies showed that 2019-nCoV (SARS-CoV-2) could be of bat origin but involve other potential intermediate hosts. In this study, we assembled the genomes of coronaviruses identified in sick pangolins. The molecular and phylogenetic analyses showed that pangolin Coronaviruses (pangolin-CoV) are genetically related to both the 2019-nCoV and bat Coronaviruses but do not support the 2019-nCoV arose directly from the pangolin-CoV. Our study also suggested that pangolin be natural host of Betacoronavirus, with a potential to infect humans. Large surveillance of coronaviruses in pangolins could improve our understanding of the spectrum of coronaviruses in pangolins. Conservation of wildlife and limits of the exposures of humans to wildlife will be important to minimize the spillover risks of coronaviruses from wild animals to humans. author/funder. All rights reserved. No reuse allowed without permission.",
" An emerging disease is one infectious epidemic caused by a newly transmissible pathogen, which has either appeared for the first time or already existed in human populations, having the capacity to increase rapidly in incidence as well as geographic range. Adapting to human immune system, emerging diseases may trigger large-scale pandemic spreading, such as the transnational spreading of SARS, the global outbreak of A(H1N1), and the recent potential invasion of avian influenza A(H7N9). To study the dynamics mediating the transmission of emerging diseases, spatial epidemiology of networked metapopulation provides a valuable modeling framework, which takes spatially distributed factors into consideration. This review elaborates the latest progresses on the spatial metapopulation dynamics, discusses empirical and theoretical findings that verify the validity of networked metapopulations, and the application in evaluating the effectiveness of disease intervention strategies as well.",Spatial epidemiology of networked metapopulation: An overview
" While seasonal influenza and other respiratory pathogens cause significant morbidity and mortality each year, the community-based burden of these infections remains incompletely understood. Understanding the prevalence, epidemiology, and transmission dynamics of respiratory pathogen infections among community-dwelling individuals is essential during pandemic and epidemic settings and for developing pandemic-preparedness infrastructure. We present the protocol for a novel, city-wide home-based cross-sectional study in the Seattle Metropolitan area, utilizing rapid delivery systems for self-collection of a nasal swab and return to the laboratory for respiratory pathogen testing. All participation takes place electronically, including recruitment, consent, and data collection. Within 48 hours of participants self-reporting respiratory symptoms, a nasal swab kit is delivered to the household via a courier service. Demographic and illness characteristics are collected at the time of sample collection and recovery and behavioral information collected one week later. Specimens are tested in the laboratory for multiple respiratory pathogens, and results are available on a public website for participants. Ethics and Dissemination. The study was approved by the University of Washington Institutional Review Board (Protocol #00006181). Results will be disseminated through peer-reviewed publications, talks at conferences, and on the Study Website ( www.seattleflu.org ). All rights reserved. No reuse allowed without permission. author/funder, who has granted medRxiv a license to display the preprint in perpetuity. • The findings of this study will inform whether a home-based approach to city-wide respiratory surveillance is possible in epidemic settings • A key strength of this study is that it is conducted across diverse neighborhoods spanning a major metropolitan area • Clinical findings may not be generalizable, as they are reliant on self-report (vaccination status, symptoms, healthcare utilization, etc.) All rights reserved. No reuse allowed without permission. author/funder, who has granted medRxiv a license to display the preprint in perpetuity.",Seattle Flu Study -Swab and Send: Study Protocol for At-Home Surveillance Methods to Estimate the Burden of Respiratory Pathogens on a City-Wide Scale
" The COVID-19 outbreak has been a serious public health threat worldwide. We use individually documented case descriptions of COVID-19 from China (excluding Hubei Province) to estimate the distributions of the generation time, incubation period, and periods from symptom onset to isolation and to diagnosis. The recommended 14-day quarantine period may lead to a 6.7% failure for quarantine. We recommend a 22-day quarantine period. The mean generation time is 3.3 days and the mean incubation period is 7.2 days. It took 3.7 days to isolate and 6.6 days to diagnose a patient after his/her symptom onset. Patients may become infectious on average 3.9 days before showing major symptoms. This makes contact tracing and quarantine ineffective. The basic reproduction number is estimated to be 1.54 with contact tracing, quarantine and isolation, mostly driven by super spreaders.",
" Post-transcriptional gene silencing (PTGS) is a powerful tool to understand and control plant metabolic pathways, which is central to plant biotechnology. PTGS is commonly accomplished through delivery of small interfering RNA (siRNA) into cells. Standard plant siRNA delivery methods (Agrobacterium and viruses) involve coding siRNA into DNA vectors, and are only tractable for certain plant species. Herein, we develop a nanotube-based platform for direct delivery of siRNA, and show high silencing efficiency in intact plant cells. We demonstrate that nanotubes successfully deliver siRNA and silence endogenous genes owing to effective intracellular delivery and nanotubeinduced protection of siRNA from nuclease degradation. This study establishes that nanotubes could enable a myriad of plant biotechnology applications that rely on RNA delivery to intact cells. All rights reserved. No reuse allowed without permission.",Carbon Nanocarriers Deliver siRNA to Intact Plant Cells for Efficient Gene
" An outbreak of new SARS-like viral in Wuhan, China has been named 2019-nCoV. The current state of the epidemic is increasingly serious, and there has been the urgent necessity to develop an effective new drug. In previous studies, it was found that the conformation change in CTD1 was the region where SARS-CoV bound to human ACE2. Although there are mutations of the 2019-nCoV, the binding energy of ACE2 remains high. The surface glycoprotein of 2019-nCoV was coincident with the CTD1 region of the S-protein by comparing the I-TASSER prediction model with the actual SARS model, which suggests that 2019-nCoV may bind to the ACE2 receptor through conformational changes. Furthermore, site prediction on the surface glycoprotein of 2019-nCoV suggests some core amino acid area may be a novel drug target against 2019-nCoV.",Predictions for the binding domain and potential new drug targets of 2019-nCoV
" Background: As of May 27, 2018, 54 cases of Ebola virus disease (EVD) were reported in Équateur Province, Democratic Republic of Congo. We used reported case counts and time series from prior outbreaks to estimate the current outbreak size and duration with and without vaccine use. We modeled Ebola virus transmission using a stochastic branching process model with a negative binomial distribution, using both estimates of reproduction number R declining from supercritical to subcritical derived from past Ebola outbreaks, as well as a particle filtering method to generate a probabilistic projection of the future course of the outbreak conditioned on its reported trajectory to date; modeled using 0%, 44%, and 62% estimates of vaccination coverage. Additionally, we used the time series for 18 prior Ebola outbreaks from 1976 to 2016 to parameterize a regression model predicting the outbreak size from the number of observed cases from April 4 to May 27. With the stochastic transmission model, we projected a median outbreak size of 78 EVD cases (95% credible interval: 52, 125.4), 86 cases (95% credible interval: 53, 174.3), and 91 cases (95% credible interval: 52, 843.5), using 62%, 44%, and 0% estimates of vaccination coverage. With the regression All rights reserved. No reuse allowed without permission. The copyright holder for this preprint (which was not peer-reviewed) is the author/funder. . https://doi.org/10.1101/331447 doi: bioRxiv preprint model, we estimated a median size of 85.0 cases (95% prediction interval: 53.5, 216.6). Conclusions: This outbreak has the potential to be the largest outbreak in DRC since 2007. Vaccines are projected to limit outbreak size and duration but are only part of prevention, control, and care strategies.","Ministry of Health, Kinshasa, Democratic Republic of Congo g. School of Public Health"
" To control the spread of Corona Virus Disease , screening large numbers of suspected cases for appropriate quarantine and treatment is a priority. Pathogenic laboratory testing is the diagnostic gold standard but it is time consuming with significant false negative results. Fast and accurate diagnostic methods are urgently needed to combat the disease. Based on COVID-19 radiographical changes in CT images, we aimed to develop a deep learning method that could extract COVID-19's graphical features in order to provide a clinical diagnosis ahead of the pathogenic test, thus saving critical time for disease control. Methods：We collected 1,119 CT images of pathogen-confirmed COVID-19 cases along with those previously diagnosed with typical viral pneumonia. We modified the Inception transfer-learning model to establish the algorithm, followed by internal and external validation. The internal validation achieved a total accuracy of 89.5% with specificity of 0.88 and sensitivity of 0.87. The external testing dataset showed a total accuracy of 79.3% with specificity of 0.83 and sensitivity of 0.67. In addition, in 54 COVID-19 images that first two nucleic acid test results were negative, 46 were predicted as COVID-19 positive by the algorithm, with the accuracy of 85.2%. These results demonstrate the proof-of-principle for using artificial intelligence to extract radiological features for timely and accurate COVID-19 diagnosis.",A deep learning algorithm using CT images to screen for Corona Virus Disease (COVID-19)
" For successful infection, viruses must recognize their respective host cells. A common mechanism of host recognition by viruses is to utilize a portion of the host cell as a receptor. Bacteriophage Sf6, which infects Shigella flexneri, uses lipopolysaccharide as a primary receptor and then requires interaction with a secondary receptor, a role that can be fulfilled by either outer membrane proteins (Omp) A or C. Our previous work showed that specific residues in the loops of OmpA mediate Sf6 infection. To better understand Sf6 interactions with OmpA loop variants, we determined the kinetics of these interactions through the use of biolayer interferometry, an optical biosensing technique that yields data similar to surface plasmon resonance. Here, we successfully tethered whole Sf6 virions, determined the binding constant of Sf6 to OmpA to be 36 nM. Additionally, we showed that Sf6 bound to five variant OmpAs and the resulting kinetic parameters varied only slightly. Based on these data, we propose a model in which Sf6: Omp receptor recognition is not solely based on kinetics, but likely also on the ability of an Omp to induce a conformational change that results in productive infection. All rights reserved. No reuse allowed without permission.",Kinetic Analysis of Bacteriophage Sf6 Binding to Outer Membrane Protein A Using Whole Virions
" Coronavirus disease-2019 (COVID-19) is a rapidly escalating epidemic caused by SARS-CoV-2. Identification of a simple and effective indicator to assess disease severity and prognosis is urgently needed. Dynamic changes of blood lymphocyte percentage (LYM%) in 15 death cases, 15 severe cases as well as 40 moderate cases of COVID-19 patients were retrospectively analyzed. A Time-LYM% model (TLM) was established according to the descriptive studies and was validated in 92 hospitalized cases. Results from death and severe cases showed that LYM% in blood tests were inversely associated with the severity and prognosis of COVID-19. LYM% in moderate type of patients with COVID-19 remained higher than 20% 10-12 days after symptom onset. In contrast, LYM% was lower than 20% in severe cases. However, LYM% in severe cases was higher than 5% 17-19 days after the onset of the disease, while it fell below 5% in death cases. Accordingly, we established a Time-LYM% model (TLM), which was validated as an independent criterion of disease classification in another 92 hospitalized patients with COVID-19. Lymphopenia can be used as an indicator of disease severity and prognosis of COVID-19 patients. TLM is worth of application in the clinical practice.",Lymphopenia predicts disease severity of COVID-19: a descriptive and predictive study Summary Background
" Cellular membranes display an incredibly diverse range of shapes, both in the plasma membrane and at membrane bound organelles. These morphologies are intricately related to cellular functions, enabling and regulating fundamental membrane processes. However, the biophysical mechanisms at the origin of these complex geometries are not fully understood from the standpoint of membrane-protein coupling. In this work, we focused on a minimal model of helicoidal ramps representative of specialized endoplasmic reticulum compartments. Given a helicoidal membrane geometry, we asked what is the distribution of spontaneous curvature required to maintain this shape at mechanical equilibrium? Based on the Helfrich energy of elastic membranes with spontaneous curvature, we derived the shape equation for minimal surfaces, and applied it to helicoids. We showed the existence of switches in the sign of the spontaneous curvature associated with geometric variations of the membrane structures. Furthermore, for a prescribed gradient of spontaneous curvature along the exterior boundaries, we identified configurations of the helicoidal ramps that are confined between two infinitely large energy barriers. Overall our results suggest possible mechanisms for geometric control of helicoidal ramps in membrane organelles based on curvatureinducing proteins.",Geometric coupling of helicoidal ramps and curvature-inducing proteins in organelle membranes
" December 2019, there have been more than 76,000 cases of COVID-19 in China, causing more than 3,000 medical staff infections. Due to COVID-19 spreads quickly, is highly contagious, and can be fatal in severe cases, and there are no specific medicines, it poses a huge threat to the life and health of nurses and has a large impact on their emotional responses and coping strategies. This study conducted an online questionnaire survey from February 1 to 9, 2020 to investigate the current state of emotional responses and coping strategies of nurses and college nursing students in Anhui Province. This study used a modified Brief COPE (Carver, 1997) and a emotional responses scale. The results found that women showed more severe anxiety and fear than men. Participants from cities showed more anxiety and fear than participants from rural, but rural participants showed more sadness than urban participants. The closer COVID-19 is to the participants, the stronger the anxiety and anger. Compared with Nursing college students, nurses have stronger emotional responses and are more willing to use Problem-focused coping. People may have a cycle of ""the more fear, the more problem-focused coping"". And people may ""The more angry, the more emotion-focused coping"", ""the more problem-focused coping, the more anxious, the more angry, the more sadness"". All rights reserved. No reuse allowed without permission. author/funder, who has granted medRxiv a license to display the preprint in perpetuity.",Emotional responses and coping strategies of nurses and nursing college students during COVID-19 outbreak
" Human behavior can change the spread of infectious disease. There is limited understanding of 1 how the time in the future over which individuals make a behavioral decision, their planning 2 horizon, affects epidemic dynamics. We developed an agent-based model (along with an ODE 3 analog) to explore the decision-making of self-interested individuals on adopting prophylactic 4 behavior. The decision-making process incorporates prophylaxis efficacy and disease prevalence 5 with individuals' payoffs and planning horizon. Our results show that for short and long 6 planning horizons individuals do not consider engaging in prophylactic behavior. In contrast, 7 individuals adopt prophylactic behavior when considering intermediate planning horizons. Such 8 adoption, however, is not always monotonically associated with the prevalence of the disease, 9 depending on the perceived protection efficacy and the disease parameters. Adoption of 10 prophylactic behavior reduces the peak size while prolonging the epidemic and potentially 11 generates secondary waves of infection. These effects can be made stronger by increasing the 12 behavioral decision frequency or distorting an individual's perceived risk of infection. Human behavior plays a significant role in the dynamics of infectious disease [7, 11] . However, 15 the inclusion of behavior in epidemiological modeling introduces numerous complications and 16 involves fields of research outside the biological sciences, including psychology, philosophy, 17 sociology, and economics. Areas of research that incorporates human behavior into 18 epidemiological models are loosely referred to as social epidemiology, behavioral epidemiology, 19 or economic epidemiology [14, 17] . We use the term 'behavioral epidemiology' to broadly refer 20 to all epidemiological approaches that incorporate human behavior. While the incorporation of 21 behavior faces many challenges [9], one of the goals of behavioral epidemiology is to 22 understand how social and behavioral factors affect the dynamics of infectious disease 23 epidemics. This goal is usually accomplished by coupling models of social behavior and 24 decision making with biological models of contagion [16, 11] . Many social and behavioral aspects can be incorporated into a model of infectious disease. One example is the effect of either awareness or fear spreading through a population [10, 5] . In 27 these types of models, the spread of beliefs or information is treated as a contagion much like an 28 infectious disease, though the network for the spread of information may differ from the 29 biological network [2]. Other models focus on how individuals adapt their behavior by 30 weighting the risk of infection with the cost of social distancing [6, 19] or other disincentives [1]. 31 Still others model public health interventions (e.g. isolation, vaccination, surveillance, etc.) and 32 individual responses to them [3]. Many of these models sit at the population level, incorporating 33 the effects of social factors and abstracting away details about the individuals themselves. 34 The SPIR model (Susceptible, Prophylactic, Infectious, Recovered) is an epidemiological 35 agent-based model that couples individual behavioral decisions with an extension of the SIR 36 model [13]. In this model agents that are vulnerable to infection may be in one of two states 37 which are determined by their behavior. Agents in the susceptible state engage in the status quo 38 behavior while agents in the prophylactic state employ preventative behaviors that reduce their 39 chance of infection. We use a rational choice model to represent individual behavioral decisions, 40 where individuals select the largest utility between engaging in prophylactic behavior (e.g. hand-washing or wearing a face mask) or non-prophylactic behavior (akin to the status quo). We 42 also allow for the fact that individuals may not perceive the risk of getting infected accurately, 43 but rather receive some distorted information, for example, through the media. We are interested in understanding how an individual's planning horizon-the time in the 45 future over which individuals calculate their utilities to make a behavioral decision-affects 46 behavioral change and how that in turn influences the dynamics of an epidemic. 47 We introduce the model through the lens of individuals rather than at the population level, 48 because we find that the individualistic perspective gives a more natural interpretation of the 49 behavioral decision analysis we discuss. Under the assumption that the population is large, well 50 mixed, and homogeneous, we can also express the model as a system of ordinary differential 51 equations (ODEs). We work with both versions of the model, using the ODE version for 52 calculations, and the individual-based or agent-based model (ABM) version for thinking about 53 the psychological features of decision making that may affect the spread of infectious diseases. 54 One of our key findings is that individuals choose to engage in prophylactic behavior only 55 when the planning horizon is ""just right."" If the planning horizon is set too far into the future, it 56 is in an individual's best interest to become infected (i.e. get it over with); if the horizon is too 57 short, individuals dismiss the future risk of infection (i.e. live for the moment). What counts as 58 ""just right"" depends on the disease in question, and we explore two hypothetical contrasting 59 diseases, one with long recovery time and acute severity, and another with short recovery time 60 and mild severity. 61 Methods 62 The SPIR Model 63 The SPIR model couples two sub-models: one reproducing the dynamics of the infectious 64 disease, the Disease Dynamics Model, and another that determines how agents make the 65 decision to engage in prophylactic or non-prophylactic behavior, the Behavioral Decision Model. 66 Disease Dynamics Model 67 The disease dynamics model reproduces the dynamics of the infectious disease in a constant 68 population of N agents. Each agent can be in one of four states: Susceptible (S), Prophylactic 69 (P), Infectious (I), or Recovered (R). The difference between agents in states S and P is that the 70 former engage in non-prophylactic behavior and do not implement any measure to prevent 71 infection, while the latter adopt prophylactic behavior which decreases their probability of being 72 3/23 . CC-BY-NC 4.0 International license is made available under a The copyright holder for this preprint (which was not peer-reviewed) is the author/funder. It . https://doi.org/10.1101/069013 doi: bioRxiv preprint proportion of infectious agents i represents the probability that an agent is paired with an 87 infectious agent and the per time step probability of an agent in either state S or P being infected 88 is either ib S or ib P , respectively. In addition to interacting, susceptible and prophylactic agents 89 4/23 . CC-BY-NC 4.0 International license is made available under a The copyright holder for this preprint (which was not peer-reviewed) is the author/funder. It . https://doi.org/10.1101/069013 doi: bioRxiv preprint 109 model is a rational choice model that assumes agents are self-interested and rational; thus they 110 adopt the behavior with the largest utility over the planning horizon, H. Note that the planning 111 horizon is a construct used to calculate utilities and it does not affect the time until an agent has 112 an opportunity to make another decision within the disease dynamics model. The planning horizon is the time in the future over which agents calculate their utilities. In 114 order for the agent to make these calculations, we make the following assumptions about agents 115 6/23",Planning horizon affects prophylactic decision-making and epidemic dynamics
" Many mammalian carnivore species have been reduced to small, isolated populations by habitat destruction, fragmentation, poaching, and human conflict. Their limited genetic variability and increased exposure to domestic animals such as dogs place them at risk of further losses from infectious diseases. In India, domestic and feral dogs are associated with villages in and around protected areas, and may serve as reservoirs of pathogens to the carnivores within. India's Kanha Tiger Reserve (KTR) is home to a number of threatened and endangered mammalian carnivores including tiger (Panthera tigris), leopard (Panthera pardus), wolf (Canis lupus), and dhole (Cuon alpinus). It also has more than 150 villages with associated dog populations. We found that dog populations ranged from 14 to 45/village (3.7 to 23.7/km 2 ), and did not vary with village area, human population size, or distance from the KTR's core area, though they all increased between summer 2014 and winter 2015, primarily through reproduction. No dog tested positive for rabies but seroprevalence levels to three other generalist viral pathogens were high in summer (N=67) and decreased somewhat by winter (N=168): canine parvovirus (83.6% to 68.4%), canine distemper virus (50.7% to 30.4%) and canine adenovirus (41.8% to 30.9%). The declines in seroprevalence were primarily due to new recruitments by birth and these were not yet exposed to the viruses. Wild carnivores frequently entered the villages, as shown by tracks, scats, kills and other indicators, and the dogs are known to leave the villages so that encounters between dogs and wild carnivores may be common. We conclude that there is a large population of unvaccinated dogs in and around Kanha Tiger Reserve, with high levels of seroprevalence to pathogens with broad host ranges and these dogs which interact with wild carnivores, therefore posing a high risk of disease spillover to the wild carnivores.","Title: Risk of disease spillover from dogs to wild carnivores in Kanha Tiger Reserve, India. Running head: Disease spillover from dogs to carnivores"
" To extend the frontier of genome editing and enable the radical redesign of mammalian genomes, we developed a set of dead-Cas9 base editor (dBE) variants that allow editing at tens of thousands of loci per cell by overcoming the cell death associated with DNA double-strand breaks (DSBs) and single-strand breaks (SSBs). We used a set of gRNAs targeting repetitive elementsranging in target copy number from about 31 to 124,000 per cell. dBEs enabled survival after 5 large-scale base editing, allowing targeted mutations at up to ~13,200 and ~2610 loci in 293T and human induced pluripotent stem cells (hiPSCs), respectively, three orders of magnitude greater than previously recorded. These dBEs can overcome current on-target mutation and toxicity barriers that prevent cell survival after large-scale genome engineering. One Sentence Summary: Base editing with reduced DNA nicking allows for the simultaneous 10",Enabling large-scale genome editing by reducing DNA nicking
" The infection of a novel coronavirus found in Wuhan of China (2019-nCoV) is rapidly spreading, and the incidence rate is increasing worldwide. Due to the lack of effective treatment options for 2019-nCoV, various strategies are being tested in China, including drug repurposing. In this study, we used our pretrained deep learning-based drug-target interaction model called Molecule Transformer-Drug Target Interaction (MT-DTI) to identify commercially available drugs that could act on viral proteins of 2019-nCoV. The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing a inhibitory potency with Kd of 94.94 nM against the 2019-nCoV 3C-like proteinase, followed by efavirenz (199.17 nM), ritonavir (204.05 nM), and dolutegravir (336.91 nM). Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases. However, in our prediction, they may also bind to the replication complex components of 2019-nCoV with an inhibitory potency with Kd < 1000 nM. In addition, we also found that several antiviral agents, such as Kaletra, could be used for the treatment of 2019-nCoV, although there is no real-world evidence supporting the prediction. Overall, we suggest that the list of antiviral drugs identified by the MT-DTI model should be considered, when establishing effective treatment strategies for 2019-nCoV.",China through a drug-target interaction deep learning model
" Cylindrical protein scaffolds are thought to stabilize membrane tubules, preventing membrane fission. In contrast, Snead et al. find that when scaffold proteins assemble, bulky disordered domains within them become acutely concentrated, generating steric pressure that destabilizes tubules, driving fission. Cellular membranes are continuously remodeled. The crescent-shaped bin-amphiphysinrvs (BAR) domains remodel membranes in multiple cellular pathways. Based on studies of BAR domains in isolation, the current paradigm is that they polymerize into cylindrical scaffolds that stabilize lipid tubules, preventing membrane fission. But in nature BAR domains are often part of multi-domain proteins that contain large intrinsically-disordered regions. Using in vitro and live cell assays, here we show that full-length BAR domaincontaining proteins, rather than stabilizing membrane tubules, are instead surprisingly potent drivers of membrane fission. Specifically, when BAR scaffolds assemble at membrane surfaces, their bulky disordered domains become crowded, generating steric pressure that destabilizes lipid tubules. More broadly, we observe this behavior with BAR domains that have a range of curvatures. These data challenge the idea that cellular membranes adopt the curvature of BAR scaffolds, suggesting instead that the ability to concentrate disordered domains is the key requirement for membrane remodeling and fission by BAR domain-containing proteins. All rights reserved. No reuse allowed without permission.",BAR scaffolds drive membrane fission by crowding disordered domains
" We develop a health informatics toolbox that enables public health workers to timely analyze and evaluate the time-course dynamics of the novel coronavirus (COVID-19) infection using the public available data from the China CDC. This toolbox is built upon a hierarchical epidemiological model in which two observed time series of daily proportions of infected and removed cases are emitted from the underlying infection dynamics governed by a Markov SIR infectious disease process. We extend the SIR model to incorporate various types of time-varying quarantine protocols, including government-level macro isolation policies and community-level micro inspection measures. We develop a calibration procedure for under-reported infected cases. This toolbox provides forecast, in both online and offline forms, of turning points of interest, including the time when daily infected proportion becomes smaller than the previous ones and the time when daily infected proportions becomes smaller than that of daily removed proportion, as well as the ending time of the epidemic. An R software is made available for the public, and examples on the use of this software are illustrated. Some possible extensions of our novel epidemiological models are discussed.",An epidemiological forecast model and software assessing interventions on COVID-19 epidemic in China
" Spreading dynamics analysis is an important and interesting topic since it has many applications such as rumor or disease controlling, viral marketing and information recommending. Many state-of-the-art researches focus on predicting infection scale or threshold. Few researchers pay attention to the predicting of infection nodes from a snapshot. With developing of precision marketing, recommending and, controlling, how to predict infection nodes precisely from snapshot becomes a key issue in spreading dynamics analysis. In this paper, a probability based prediction model is presented so as to estimate the infection nodes from a snapshot of spreading. Experimental results on synthetic and real networks demonstrate that the model proposed could predict the infection nodes precisely in the sense of probability. Researchers have gotten many achievements on macro level of spreading such as 7 phase transition of spreading [26] and basic reproduction number [27]. Up to now, 8 many researches focus on estimating of infection scale. The simplest one is mean-field 9 model, in which, the spreading coverage can be predicted by using differential 10 equations [24]. Besides mean-field model, some more realistic models such as pair 11 approximation [25] and permutation entropy [28] are considered to predict the 12 infection scale or infectious disease outbreaks. The main difference between mean-field 13 and pair approximation is that the former(latter) approximates high-order moments in 14 term of first (second) order ones. In [28] , the researchers studied the predictability of a 15",Spreading predictability in complex networks
" The spread of the novel coronavirus (SARS-CoV-2) has triggered a global emergency, that demands urgent solutions for detection and therapy to prevent escalating health, social and economic impacts. The spike protein (S) of this virus enables binding to the human receptor ACE2, and hence presents a prime target for vaccines preventing viral entry into host cells 1 . The S proteins from SARS-CoV-1 and SARS-CoV-2 are similar 2 , but structural differences in the receptor binding domain (RBD) preclude the use of SARS-CoV-1-specific neutralizing antibodies to inhibit SARS-CoV-2 3 . Here we used comparative pangenomic analysis of all sequenced Betacoronaviruses to reveal that, among all core gene clusters present in these viruses, the envelope protein E shows a variant shared by SARS and SARS-Cov2 with two completely-conserved key functional features, an ion-channel and a PDZ-binding Motif (PBM). These features trigger a cytokine storm that activates the inflammasome, leading to increased edema in lungs causing the acute respiratory distress syndrome (ARDS) 4-6 , the leading cause of death in SARS-CoV-1 and SARS-CoV-2 infection 7,8 . However, three drugs approved for human use may inhibit SARS-CoV-1 and SARS-CoV-2 Protein E, either acting upon the ion channel (Amantadine and Hexamethylene amiloride 9,10 ) or the PBM (SB203580 5 ), thereby potentially increasing the survival of the host, as already demonstrated for SARS-CoV-1in animal models. Hence, blocking the SARS protein E inhibits development of ARDS in vivo. Given that our results demonstrate that the protein E subcluster for the SARS clade is quasi-identical for the key functional regions of SARS-CoV-1 and SARS-CoV-2, we conclude that use of approved drugs shown to act as SARS E protein inhibitors can help prevent further casualties from COVID-2019 while vaccines and other preventive measures are being developed.",A B
" Background: To explore the cellular immunity and cytokines status of NCP patients and to predict 36 the correlation between the cellular immunity levels, cytokines and the severity of patients. 37 Methods: 123 NCP patients were divided into mild and severe groups. Peripheral blood was 38 collected, lymphocyte subsets and cytokines were detected. Correlation analysis was performed on 39 the lymphocyte subsets and cytokines, and the differences between the indexes of the two groups 40 were analyzed. 41 Results: 102 mild and 21 severe patients were included. Lymphocyte subsets were reduced in two 42 groups. The proportion of CD8 + T reduction in the mild and severe group was 28.43% and 61.9%, 43 respectively; The proportion of B cell reduction was 25.49% and 28.57%; The proportion of NK 44 cell reduction was 34.31% and 47.62%; The detection value of IL-6 was 0 in 55.88% of the mild 45 group, mild group has a significantly lower proportion of patients with IL-6 higher than normal than 46 severe group; There was no significant linear correlation between the lymphocyte subsets and 47 cytokines, while significant differences were noticed between the two groups in CD4 + T, CD8 + T, 48 IL-6 and IL-10. 49 Conclusions: Low levels of CD4+T and CD8+T are common in severe NCP. IL-6 and IL-10 levels 50 were higher in severe patients. T cell subsets and cytokines can be used as one of the basis for 51 predicting the transition from mild to severe. Large number of samples are still needed to confirm 52 the ""warning value"" of CD4 + T, CD8 + T IL-6 and IL-10. 53",Characteristics of lymphocyte subsets and cytokines in peripheral blood of 123 hospitalized 2 patients with 2019 novel coronavirus pneumonia (NCP) 3
