Abstract,Date,Downloads,Refrences,Search,Views,url
"In this study, we developed two predictive models for in-hospital mortality of COVID-19 patients in Wuhan. They can help to effectively predict the poor prognosis of COVID-19 patients at an early stage, and may provide practical decision-making suggestions on which patients should be paid close attention and given high-level treatments.",2020-03-05,397.0,18.0,Clinical and Laboratory Predictors of In-Hospital Mortality in 305 Patients with COVID-19: A Cohort Study in Wuhan China,140.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546115&utm_source=EC&utm_medium=Connect
"Given that population movement plays an important role in spreading of the novel coronavirus disease (COVID-19), there is high risk for emerging new outbreak centers, large cities with huge amount of population reflux in particular. Sustained public health interventions should be strengthened for these cities.",2020-03-04,213.0,33.0,Impact of Population Movement on the Spread of 2019-nCoV in China,61.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546090&utm_source=EC&utm_medium=Connect
"The extent of CT abnormalities peaked during illness days 10-14. The temporal changes of the diverse CT manifestations followed a specific pattern, which might indicate the progression and recovery of the illness.",2020-03-04,210.0,6.0,Temporal Changes of CT Findings in 90 Patients with COVID-19 Pneumonia: A Longitudinal Study,58.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546091&utm_source=EC&utm_medium=Connect
"Atypical clinical findings of pregnant women with COVID-19 could increase the difficulty in initial identification. Consolidation was more common in the pregnant groups. The clinically-diagnosed cases were vulnerable to more pulmonary involvement. CT was the modality of choice for early detection, severity assessment, and timely therapeutic effects evaluation for the cases with epidemic and clinical features of COVID-19 with or without laboratory confirmation. The exposure history and clinical symptoms were more helpful for screening in children versus chest CT.",2020-03-04,416.0,20.0,Clinical and CT Imaging Features of the COVID-19 Pneumonia: Focus on Pregnant Women and Children,137.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546094&utm_source=EC&utm_medium=Connect
"In this single-center case series of 221 hospitalized patients with confirmed COVID-19 in Wuhan, China, 55 severe patients with elder age and chronic comorbidities, developed more than one complication. The mortality rate was significantly higher in the severe patients compared to that in the non-severe patients (21.8% vs 0.0%). Older and male patients with higher APACHE II &amp; SOFA scores, elevated PCT level, excessive fluid volume input, as well as the delayed use of corticosteroid might increase the risk of death in ICU.",2020-03-04,497.0,37.0,"Clinical Features and Treatment of 221 Patients with COVID-19 in Wuhan, China",155.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546095&utm_source=EC&utm_medium=Connect
"A total of 371 records from 13,021 hits were retained in this study. Most (71.43%) were journal articles. The mean number of authors and citations per document was 4.8 and 1.283, respectively. Also, the top 15 scholars and journals were identified based on the frequency of publications. Networks of contributing authors, institutions, and countries were visualized in maps, which highlight discrete developments in research collaborations. Major areas identified through evaluating keywords and text data included genetic, epidemiological, zoonotic, and other biological topics associated with COVID-19.",2020-03-04,267.0,44.0,Current Status of Global Research on Novel Coronavirus Disease (COVID-19): A Bibliometric Analysis and Knowledge Mapping,873.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3547824&utm_source=EC&utm_medium=Connect
The DL-based quantitative CT model has more efficiency in predicting the severity of COVID-19 than quantitative CT parameters and PSI score do.,2020-03-03,638.0,39.0,Deep Learning-Based Quantitative Computed Tomography Model in Predicting the Severity of COVID-19: A Retrospective Study in 196 Patients,181.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546089&utm_source=EC&utm_medium=Connect
"In this depictive study of 85 fatal cases of COVID-19, the largest series reported so far, most cases were male aged over 50 years old with noncommunicable chronic diseases. The majority of the patients died of multiple organ failures. Early onset of shortness of breath might be used as an observational symptom for COVID-19 exacerbations. Eosinophilopenia might indicate a poor prognosis. Combination of more than 3 anti-microbial drugs did not offer considerable benefit to the outcome of this group of patients.",2020-03-03,496.0,14.0,Clinical Features of 85 Fatal Cases of COVID-19 from Wuhan: A Retrospective Observational Study,130.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546088&utm_source=EC&utm_medium=Connect
Combination of RT-PCR and CT with the highest sensitivity is an optimal pattern to screen COVID-19. RT-PCR is superior to CT in diagnosing mild infections. Stool RT-PCR should be considered as an item for improving discovery rate and hospital discharge. This study shed light for optimizing scheme of screening and monitoring of SARS-CoV-2 infection.,2020-03-03,299.0,5.0,Application and Optimization of RT-PCR in Diagnosis of SARS-CoV-2 Infection,87.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546086&utm_source=EC&utm_medium=Connect
 Cases exported outside Wuhan being less severe indicates possible diminishing virulence of the virus in the process of transmission. Yet persistent positive RNA in feces after negative throat swabs suggests a possible prolonged transmission period that challenges current quarantine practices. ,2020-03-03,361.0,35.0,"Comparison of Epidemiological and Clinical Features of Patients with Coronavirus Disease (COVID-19) in Wuhan and Outside Wuhan, China",101.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546082&utm_source=EC&utm_medium=Connect
Children are susceptible to infection by SARS-CoV-2. Our preliminary findings show that children develop a milder form of the disease with a less-aggressive clinical course than do adults.,2020-03-03,695.0,10.0,"Coronavirus Disease-19 Among Children Outside Wuhan, China",180.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546071&utm_source=EC&utm_medium=Connect
Safety testing of COVID-19 S protein-based B cell vaccines in animal models is strongly encouraged prior to clinical trials to reduce risk of ADE upon virus exposure.,2020-03-03,633.0,109.0,Medical Countermeasures Analysis of 2019-nCoV and Vaccine Risks for Antibody-Dependent Enhancement (ADE),140.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546070&utm_source=EC&utm_medium=Connect
"The identified independent risk factors (elevated TnT, CRP, and D-dimer, and declined PaO2/FiO2) suggest that fatality due to COVID-19 was associated with multiple organ dysfunction. The independent risk factors found in this research can help identify the high-risk patients of COVID-19 with poor prognosis in order to offer early warning and intervention, and also help funnel the flow of patient with COVID-19.",2020-03-03,1049.0,32.0,"Clinical Characteristics And Risk Factors For Fatal Outcome in Patients With 2019-Coronavirus Infected Disease (COVID-19) in Wuhan, China",311.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546069&utm_source=EC&utm_medium=Connect
"The treatment approaches and responses to treatment were different in COVID-19 patients with different outcomes. Anti-viral drugs and antibiotics have been widely used in the treatment of patients with COVID-19. Corticosteroid therapy, γ-globulin and invasive ventilation were more frequently used in death group. The patients with lower lymphocyte counts were more likely to be given corticosteroids. After corticosteroid therapy, lymphocytes of survivors revived and a longer hospitalization was observed, which was more likely to be the severity of disease. However, for death patients, lymphocytes remained unchanged after corticosteroid treatment. The recovery of lymphocyte counts and temperature after corticosteroid treatment may be used as predictors of prognosis of patients with COVID-19.",2020-03-03,549.0,21.0,"The Treatment and Outcomes of Patients with COVID-19 in Hubei, China: A Multi-Centered, Retrospective, Observational Study",178.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546060&utm_source=EC&utm_medium=Connect
"The COVID-19 had a low mortality rate in Jiangsu Province, China. In patients with severe COVID-19 pneumonia, early comprehensive care and oxygen support therapy are the key to success treatment. With non-invasive ventilation or high flow nasal cannula combined prone ventilation might additionally improve hypoxia and protect organ function.",2020-03-03,415.0,32.0,"Early and Critical Care in Severe Patients with COVID-19 in Jiangsu Province, China: A Descriptive Study",104.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546056&utm_source=EC&utm_medium=Connect
The epidemic of COVID-19 has been primarily contained in China. The fight against this epidemic in China provided valuable experiences for the rest of the world. The strict measures need to be taken as earlier as possible to prevent its spreading.,2020-03-03,348.0,25.0,The Epidemiological Trends of Coronavirus Disease 2019 in China,119.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546054&utm_source=EC&utm_medium=Connect
The antibody detection offers vital clinical information during the course of SARS-CoV-2 infection. The findings provide strong empirical support for the routine application of serological testing in the diagnosis and management of COVID-19 patients.,2020-03-03,3267.0,11.0,Antibody Responses to SARS-CoV-2 in Patients of Novel Coronavirus Disease 2019,525.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546052&utm_source=EC&utm_medium=Connect
" The main causes of death were acute respiratory injury and ARDS. Risk factors were ages and underlying diseases. The full spectrum of disease severity (range from asymptomatic, to symptomatic extents, requiring hospitalization or fatal), treatment and prevention require further investigations.",2020-03-03,462.0,31.0,"Clinical Characteristics of Deceased Patients Infected with SARS-CoV-2 in Wuhan, China",150.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546043&utm_source=EC&utm_medium=Connect
"The clinical characteristics of COVID-19 patients at the onset became partially different as the novel coronavirus spreads over time and generations, positive infection even appeared in patients after discharge. Findings from this study suggest that initial symptoms of recently infected patients seem more insidious. All provide clues that the new coronavirus may gradually evolve into an influenza-like virus, or it may be latent in some asymptomatic carrier for a long time.",2020-03-02,3123.0,16.0,Caution: Clinical Characteristics of COVID-19 Patients Are Changing at Admission,438.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546044%20&utm_source=EC&utm_medium=Connect
"In the virus-infected patient cohort, a much higher fatality rate compared to ~3% among general infected public, suggests that surgery is a considerable risk factor, pointing to the necessity to postpone lung resection on patients during the epidemic.",2020-03-02,235.0,22.0,"Clinical Characteristics of Seven Cases Infected with SARS-CoV-2 in the Perioperative Period of Lung Resection: A Retrospective Study from a Single Thoracic Department in Wuhan, China",46.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546042&utm_source=EC&utm_medium=Connect
"GGO (48, 85.7%), vascular enlargement (44, 78.6%) were the most frequent signs in patients with COVID-19. 64.3% of the margins of the lesions were uneasily differentiated. No significant correlations were found in terms of leucocytes, neutrophils, lymphocytes, platelets and C-reactive protein. In contrast, the uneasily differentiated margin was negative correlated with the Ct value (r=-0.283, P=0.042). In another word, an uneasily differentiated margin indicated a lower Ct value (P=0.043). Patients with a lower Ct value were likely to present a progress follow-up change (P=0.022). The Ct value at baseline could predict a progress follow-up changes with an AUC of 0.685 (Cut-off value=29.48). All the 4 with normal CT findings presented new lesion(s) on follow-up CT scans.",2020-03-02,454.0,31.0,The Viral Load of 2019 Novel Coronavirus (COVID-19) Has the Potential to Predict the Clinical Outcomes,105.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546047&utm_source=EC&utm_medium=Connect
"A total of 520 participants were recruited into the analysis; 61.5% were females, the average age was 45.2 years, 72.9% were married, and 88.4% were of Thai nationality. Regarding COVID-19, 73.4% had poor knowledge of disease prevention and control, 28.5% had poor attitudes toward disease prevention and control, and only 13.6% had strong preparedness skills to prevent and control the disease. Several factors were associated with poor knowledge, poor attitudes and poor preparedness skills in response to the epidemic of COVID-2019, such as education, occupation, income, and channel of receiving public health information.",2020-03-02,460.0,10.0,"Knowledge, Attitude and Preparedness to Respond to the 2019 Novel Coronavirus (COVID-19) Among the Bordered Population of Northern Thailand in the Early Period of the Outbreak: A Cross-Sectional Study",158.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546046&utm_source=EC&utm_medium=Connect
"The clinical characteristics of COVID-19 patients at the onset became partially different as the novel coronavirus spreads over time and generations, positive infection even appeared in patients after discharge. Findings from this study suggest that initial symptoms of recently infected patients seem more insidious. All provide clues that the new coronavirus may gradually evolve into an influenza-like virus, or it may be latent in some asymptomatic carrier for a long time.",2020-03-02,3123.0,16.0,Caution: Clinical Characteristics of COVID-19 Patients Are Changing at Admission,438.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546044&utm_source=EC&utm_medium=Connect
"In the virus-infected patient cohort, a much higher fatality rate compared to ~3% among general infected public, suggests that surgery is a considerable risk factor, pointing to the necessity to postpone lung resection on patients during the epidemic.",2020-03-02,235.0,22.0,"Clinical Characteristics of Seven Cases Infected with SARS-CoV-2 in the Perioperative Period of Lung Resection: A Retrospective Study from a Single Thoracic Department in Wuhan, China",46.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546042&utm_source=EC&utm_medium=Connect
"A total of 520 participants were recruited into the analysis; 61.5% were females, the average age was 45.2 years, 72.9% were married, and 88.4% were of Thai nationality. Regarding COVID-19, 73.4% had poor knowledge of disease prevention and control, 28.5% had poor attitudes toward disease prevention and control, and only 13.6% had strong preparedness skills to prevent and control the disease. Several factors were associated with poor knowledge, poor attitudes and poor preparedness skills in response to the epidemic of COVID-2019, such as education, occupation, income, and channel of receiving public health information.",2020-03-02,460.0,10.0,"Knowledge, Attitude and Preparedness to Respond to the 2019 Novel Coronavirus (COVID-19) Among the Bordered Population of Northern Thailand in the Early Period of the Outbreak: A Cross-Sectional Study",158.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546046&utm_source=EC&utm_medium=Connect
"GGO (48, 85.7%), vascular enlargement (44, 78.6%) were the most frequent signs in patients with COVID-19. 64.3% of the margins of the lesions were uneasily differentiated. No significant correlations were found in terms of leucocytes, neutrophils, lymphocytes, platelets and C-reactive protein. In contrast, the uneasily differentiated margin was negative correlated with the Ct value (r=-0.283, P=0.042). In another word, an uneasily differentiated margin indicated a lower Ct value (P=0.043). Patients with a lower Ct value were likely to present a progress follow-up change (P=0.022). The Ct value at baseline could predict a progress follow-up changes with an AUC of 0.685 (Cut-off value=29.48). All the 4 with normal CT findings presented new lesion(s) on follow-up CT scans.",2020-03-02,454.0,31.0,The Viral Load of 2019 Novel Coronavirus (COVID-19) Has the Potential to Predict the Clinical Outcomes,105.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546047&utm_source=EC&utm_medium=Connect
"On the basis of this study, we generated the pyramid of COVID-19 infection, and found the pattern of infection had shifted from the imported to indigenous gradually, and then the daily new cases was declined quickly, this attributed to the government’s potent prevent and control, the epidemic is clearly under control in China. Preventing import from outside and controlling export on inside should being a basic principle for resisting COVID-19 infection, however, if out of control, the region or area will be chaos.",2020-03-02,343.0,24.0,"Epidemiological and Clinical Characteristics of COVID-19 Infection Outside Wuhan, China: A Multicenter Study",83.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546040&utm_source=EC&utm_medium=Connect
"We identified in our study of 112 hospitalized patients that CD3+, CD4+ and CD8+ T lymphocyte counts were useful markers to predict the clinical progression of SARS-CoV-2 pneumonia at different stages. Considering the large number of patients with severe pneumonia, and the urgency of this ongoing global public health emergency, the counts of lymphocyte and its subsets from laboratory examinations could be easy and useful indicators for physicians to determine a timely and proper therapeutic strategy for patients and an early warning sign for predicting or reducing mortality in SARS-CoV-2-infected pneumonia.",2020-03-02,177.0,29.0,"Decreased Counts of T Lymphocyte Subsets Predict Prognosis in SARS-CoV-2-Infected Pneumonia in Wuhan, China: A Retrospective Study",52.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544850&utm_source=EC&utm_medium=Connect
"Compared with non-severe patients with COVID-19, severe patients commonly had neurologic symptoms manifested as acute cerebrovascular diseases, impaired consciousness and skeletal muscle injury.",2020-03-02,2679.0,18.0,"Neurological Manifestations of Hospitalized Patients with COVID-19 in Wuhan, China: A Retrospective Case Series Study",647.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544840&utm_source=EC&utm_medium=Connect
"Our findings provide the evidence that the CT imaging score can be used to reflect disease severity, and the multiple enzyme release, inflammation storm, and hypercoagulability are prominent indicators to monitor the changes of disease progression and prognosis of COVID-19, which are critical to explain the multiple organ injuries or death in clinic and also guide therapeutic strategy.",2020-03-02,484.0,31.0,"Multiple Enzyme Release, Inflammation Storm and Hypercoagulability Are Prominent Indicators For Disease Progression In COVID-19: A Multi-Centered, Correlation Study with CT Imaging Score",166.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544837&utm_source=EC&utm_medium=Connect
"Low serum cholesterol level in the patients with COVID-19 in Wenzhou, China. Altered serum cholesterol provide important information, and is meaningful to understand the disease.",2020-03-02,6454.0,24.0,"Low Serum Cholesterol Level Among Patients with COVID-19 Infection in Wenzhou, China",630.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544826&utm_source=EC&utm_medium=Connect
Public health interventions implemented at both the social and personal levels are effective in preventing outbreaks of COVID-19 in Wuhan and other provinces. Model prediction results suggested that COVID-19 will be contained around the end of February 2020 in China.,2020-03-02,348.0,60.0,Trends in Transmissibility of 2019 Novel Coronavirus-Infected Pneumonia in Wuhan and 29 Provinces in China,51.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544821&utm_source=EC&utm_medium=Connect
" There is no clinical difference between female and male patients with early-stage NCP, and most patients were never-smoker. Suspected patients with the older age, longer time from onset to admission, presence of familial clusters, lower white blood cell count and increased AST at screening should raise concern on NCP. Timely identification and treatment are crucial in order to decrease incidence of severe and critical cases and fatality rate of the disease.",2020-03-02,167.0,30.0,Early-Stage Vigilance of Novel Coronavirus Pneumonia,39.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544820&utm_source=EC&utm_medium=Connect
"SARS-CoV-2 might mainly act on lymphocytes, especially T lymphocytes, and induce a cytokine storm in the body, generate a series of immune responses. Surveillance of NLR and lymphocyte subsets is helpful in the early screening of critical illness, diagnosis and treatment of COVID-19.",2020-03-02,919.0,23.0,"Dysregulation of Immune Response in Patients with COVID-19 in Wuhan, China",213.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541136&utm_source=EC&utm_medium=Connect
"The median age of the 101 patients was 51.0 years (IQR, 37.0-61.0) and 34 patients [33.6%] were medical staffs. On admission, the number of patients with uncomplicated illness, mild, severe and critical pneumonia were 1 [1%], 86 [85%], 11[11%] and 2[2%], and another could not be unclassified because of pregnancy. 44 cases [51%] of the 86 mild pneumonia progressed to severe condition with 4 ( IQR, 1-7) days in median, and 9 patients [10%] further worsened to critical pneumonia within 4 (IQR, 3-8) days; 2 of the 11 severe patients improved to mild condition while 3 others deteriorated. Significant differences were observed among groups of different clinical stages in numbers of influenced pulmonary segments (6 (IQR, 2-12) vs 12 (IQR,6-15) vs 17 (IQR, 10-18), P &lt;0.001). A significantly upward trend was witnessed in ground-glass opacities overlapped with striped shadows (33% vs 42% vs 55% vs 80%, P &lt;0.001) while pure ground-glass opacities gradually decreased with regard to radiologic patterns. While lymphocytes, prealbumin and albumin showed a downward trend as disease progressed from mild to severe or critical condition, an increasing trend was found in white blood cells, C-reactive protein, neutrophils and lactate dehydrogenase. And the proportions of serum amyloid A &gt; 300 mg/L in mild, severe and critical conditions were 18%, 46% and 71%, respectively.",2020-03-02,277.0,14.0,"Characteristics of Disease Progress in 101 Hospitalized Patients with Corona Virus Disease 2019 in Wuhan, China",72.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543620&utm_source=EC&utm_medium=Connect
"Ten different clusters were identified and ACE2 was mainly expressed in proximal tubule and glomerular parietal epithelial cells. From GO &amp; KEGG enrichment analysis, imbalance of ACE2 expression, renin-angiotensin system (RAS) activation, and neutrophil-related processes were the main issue of COVID-19 leading kidney injury.",2020-03-02,508.0,29.0,Single Cell RNA Sequencing Analysis of Human Kidney Reveals the Presence of ACE2 Receptor: A Potential Pathway of COVID-19 Infection,181.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544810&utm_source=EC&utm_medium=Connect
