Abstract,Date,Days,Downloads,Impact,Refrences,Search,Views,url
" Fever and cough are the most common symptoms of COVID-19, SARS, and MERS infected patients. Thrombocytosis in COVID-19 patients was more than twice as frequent as in SARS, and MERS confirmed cases. At the time of submission, the mortality rate in COVID-19 confirmed cases is lower than SARS and MERS infected patients. Clinical outcomes and findings would be biased by reporting only confirmed cases, and it should be considered when interpreting the data.",2020-04-09,16.0,370.0,23.125,116.0,"Comparison of Confirmed COVID-19 with SARS and MERS Cases - Clinical Characteristics, Laboratory Findings, Radiographic Signs and Outcomes: A Systematic Review and Meta-Analysis",62.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566129
" Males, patients with older age, comorbidities, or higher neutrophil counts, and lower lymphocyte counts tended to develop critical illness. Level of CD3 + , CD4 + , D-dimer, lactate dehydrogenase and creatinine, and prothrombin time were newly identified indicators for critical illness for COVID-19.",2020-04-09,16.0,355.0,22.1875,36.0,Comparison of Clinical Features between Critically and Non-Critically Ill Patients In SARS and COVID-19: A Systematic Review and Meta-Analysis,69.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566133
" Physicians from all specialties may die from COVID, and these deaths may be underreported especially in countries with limited press freedom.  Lack of personal protective equipment was cited as a common cause of death.  Consideration should be made to exclude older physicians from front-line work.",2020-04-09,16.0,483.0,30.1875,12.0,Physician Deaths from Corona Virus Disease (COVID-19),87.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566141
"  With good safety and feasibility, pulmonary rehabilitation intervention can bring benefits in the treatment of patients with severe or critically severe COVID-19 pneumonia.",2020-04-09,16.0,329.0,20.5625,31.0,Clinical Effect of Pulmonary Rehabilitation on Patients with Severe or Critically Severe COVID-19 Pneumonia,61.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566145
 Adequate protections and interventions for the people≥50 years old having comorbidities should be implemented urgently to reduce the risk of death associated with COVID-19.  ,2020-04-09,16.0,459.0,28.6875,35.0,"Effects of Sex, Age and Comorbidities on the Risk of Infection and Death Associated with COVID-19: A Meta-Analysis of 47807 Confirmed Cases",90.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566146
" The proportion of asymptomatic and mild infections account for almost half of the confirmed cases among close contacts. The household contacts were the main transmission mode, and clinically more severe cases were more likely to pass the infection to their close contacts. Generally, the secondary cases were clinically milder than those of source cases.",2020-04-09,16.0,395.0,24.6875,33.0,Modes of Contact and Risk of Transmission in COVID-19: A Prospective Cohort Study 4950 Close Contact Persons in Guangzhou of China,75.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566149
 We present the following predictions to inform political leaders since they have the responsibility to maintain the national health systems away from collapsing. We are confident this data could help them into decision taking and place the capitals (from hospital beds to human resources) into the right place.,2020-04-09,16.0,423.0,26.4375,9.0,COVID-19 Infection Process in Italy and Spain: Are the Data Talking?,89.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566150
" Over the period of operation, a total of 1,124 patients were admitted for treatment. Of these, 833 patients were cured and discharged from the hospital and 291 patients were transferred to other designated hospitals owing to aggravation of their condition. The achievement is to have zero infection for medical staff, zero in-hospital deaths among admitted patients, and zero readmission for discharged patients.",2020-04-09,16.0,308.0,19.25,14.0,"The Application of Temporary Ark Hospitals in Controlling COVID-19 Spread: The Experiences of One Temporary Ark Hospital, Wuhan, China",37.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566155
" All the age groups of children under ten years old were susceptible to SARS-CoV-2 infection. However, children under two years old had stronger immunity to the virus and recovered faster than the older patients. Co-infection of mycoplasma pneumonia may affect the duration of illness. In addition to antiviral treatment, antibiotics should be used to treat the older pediatric patients for bacterial co-infections. ",2020-04-09,16.0,344.0,21.5,17.0,A Retrospective Study of 186 Patients Reveals the Strongest Immunity in the Early Two Years of Life Against Coronavirus Disease 2019,54.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566159
" Diarrhea was specially presented in COVID-19 patients and related with the longer course and poorer outcome of the disease due to potential higher viral burden, which may not be overlooked particular in a subgroup of patients with diarrhea as the initial or major symptom. Herein, it should take seriously the role of fecal coronavirus in the criteria of diagnosis and clinical cure.",2020-04-09,16.0,346.0,21.625,21.0,"Diarrhea in Patients with Coronavirus Disease 2019: Clinical Characteristics, Outcomes and Implications",52.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566201
" The variations of SARS-CoV-2 specific NAbs in recovered COVID-19 patients may raise the concern about the role of NAbs on disease progression. The correlation of NAb titers with age, lymphocyte counts, and blood CRP levels suggested that the interplay between virus and host immune response in coronavirus infections should be further explored for the development of effective vaccine against SARS-CoV-2 virus. Furthermore, titration of NAb is helpful prior to the use of convalescent plasma for prevention or treatment.      ",2020-04-09,16.0,1373.0,85.8125,25.0,Neutralizing Antibody Responses to SARS-CoV-2 in a COVID-19 Recovered Patient Cohort and Their Implications,271.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566211
" During this nationwide lockdown, more than half of Chinese adults were temporarily living in a sedentary lifestyle with insufficient physical activity, more screen time, and poor emotion states, which may carry considerable health risks. Promotion of home-based self-exercise can potentially help improve health and wellness. ",2020-04-09,16.0,457.0,28.5625,29.0,"Prevalence of Insufficient Physical Activity, Sedentary Screen Time and Emotional Well-Being During the Early Days of the 2019 Novel Coronavirus (COVID-19) Outbreak in China: A National Cross-Sectional Study",112.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566176
" From 29/02 to 10/03 611 patients with a suspected diagnosis of COVID-19 infection were admitted at our ED; 320 (52%) met the criteria for hospital admission. Among those admitted to the hospital, 99 (31%) needed to be immediately started on ventilatory support (81% CPAP, 7% NIV, 12% Invasive Mechanical Ventilation). Among the patients on ventilatory support, 17% received a diagnosis of mild, 51% of moderate, and 31% of severe ARDS. Eighty-five (86%) of the 99 patients needing a ventilatory support eventually had SARS-CoV-2 infection confirmed by PCR test on nasal-pharyngeal swab. The overall mortality rate as of march, 23rd was 61,2%, ranging from 100% in patients older than 80 years to 0% in those younger than 50 years old. NIV/CPAP failure occurred in 87,1% of patients. ",2020-04-09,16.0,410.0,25.625,10.0,Severity of Respiratory Failure and Outcome of Patients Needing a Ventilatory Support in the Emergency Department During Italian Novel Coronavirus SARS-CoV-2 Outbreak: Preliminary Data on the Role of Helmet CPAP and Non-Invasive Ventilation,90.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566170
" Children accounted for 1•16 % of mild cases. Some children had uncertain contact history and no clinical symptoms. The etiological diagnosis of children was more important than clinical diagnosis. Disappearance of clinical manifestations of children and the SARS-CoV-2 nucleic acid test with positive result were not parallel. SARS-CoV-2 had long detoxification time, and SARS-CoV-2 cases with positive results appeared again. The production regularity of SARS-CoV-2 IgM and IgG in children and their effect on the body remain unknown.",2020-04-09,16.0,376.0,23.5,8.0,Analysis of Epidemiological and Clinical Characteristics of Children with Mild COVID-19 and Discussion on the Clinical Significance of SARS-CoV-2 Antibody,58.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566189
" A total of 135 elderly subjects with T2D with baseline and follow-up fasting plasma glucose and 50 elderly subjects with T2D with baseline and follow-up HbA1c were analyzed, respectively. The baseline and follow-up fasting plasma glucose were 7.08±1.80 and 7.48±2.14 mmol/L, respectively (P=0.008). The baseline and follow-up HbA1c were 7.2±1.7% and 7.4±1.8%, respectively (P=0.158).",2020-04-09,16.0,275.0,17.1875,35.0,Blood Glucose Levels in Elderly Subjects with Type 2 Diabetes During COVID-19 Outbreak: A Retrospective Study in a Single Center,31.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566198
    Poor sleep quality and high working pressure were positively associated with high risks of COVID-19. A novel IBM of COVID-19 transmission is suitable for simulating different outbreak patterns in a hospital setting.  ,2020-04-09,16.0,351.0,21.9375,31.0,SARS-CoV-2 Infection in Health Care Workers: A Retrospective Analysis and Model Simulations of a Nosocomial Outbreak,69.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566208
" High nursing concentrations are strongly associated with reduced mortality rates of COVID-19. The key to address the needs of current and future COVID-19 outbreaks, or for that matter, any infectious disease outbreak of this magnitude is to prepare a highly trained, versatile nursing workforce.",2020-04-09,16.0,434.0,27.125,12.0,Countries with High Registered Nurse (RN) Concentrations Observe Reduced Mortality Rates of Coronavirus Disease 2019 (COVID-19),78.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566190
" Younger age, as well as higher levels of LDH, blood glucose, and MLR were associated with shorter duration from admission to invasive ventilation in critically ill patients with COVID-19. These potential risk factors may facilitate the identification of rapid disease progression and early requirement for invasive ventilation.",2020-04-09,16.0,330.0,20.625,26.0,"Factors Associated with Early Invasive Ventilation in Critically Ill Patients with COVID-19: A Single-Centered, Retrospective, Observational Study",50.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566214
" Apparently hookah smoking played a crucial role in spreading COVID-19 in Iran and has made younger people more susceptible. In addition to higher age, immunosuppressive effects of Metformin probably made diabetic patients, who have impaired immune systems, more vulnerable to improve severe COVID-19 pneumonia. More studies on the immune system of vulnerable individuals and identifying their differences, can pave the road to protect them. ",2020-04-09,16.0,659.0,41.1875,26.0,Risk Factors for Severe Coronavirus Disease 2019 (COVID-19) Among Iranian Patients: Who Was More Vulnerable?,127.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3566216
" Patients with blood cancer, lung cancer, and metastatic cancer demonstrated a higher incidence of severe events compared to patients without cancer. In addition, patients who underwent immunotherapy or cancer surgery had higher death rates and higher chances of having critical symptoms.",2020-04-08,17.0,3832.0,225.41176470588235,29.0,Patients with Cancer Appear More Vulnerable to SARS-CoV-2: A Multi-Center Study During the COVID-19 Outbreak,712.0,https://papers.ssrn.com/sol3/Papers.cfm?abstract_id=3558017
"  We drew a clear picture of disease progression in non-survivors. Our data showed biochemical and immune parameters dynamically changed during illness evolution in non-survivors, suggesting the importance of early intervention.",2020-04-08,17.0,309.0,18.176470588235293,23.0,Novel Insights of Illness Evolution And Mortality Risk Profiles for the Non-Survivors with COVID-19,47.0,https://papers.ssrn.com/sol3/Papers.cfm?abstract_id=3559596
" Herein, for the first time, we have demonstrated that ciprofloxacin and moxifloxacin may interact with COVID-19 Main Protease (Mpro) which indicates that both fluoroquinolone antibiotics may be potential inhibitors of the tested protease.",2020-04-08,17.0,498.0,29.294117647058822,22.0,Ciprofloxacin and Moxifloxacin Could Interact with SARS-CoV-2 Protease: Preliminary In Silico Analysis,102.0,https://papers.ssrn.com/sol3/Papers.cfm?abstract_id=3562475
" Parameters that successfully reproduce the observed number of cases indicate that both R 0 and the prevalence of the virus might be underestimated. This is in concordance with the newest research on undocumented COVID-19 cases. Consequently, the actual mortality rate is putatively lower than estimated. Confirmation of the pandemic characteristic by further refinement of the model and screening tests is crucial for developing an effective strategy for the global epidemiological crisis.",2020-04-08,17.0,319.0,18.764705882352942,28.0,From a Single Host to Global Spread. The Global Mobility Based Modelling of the COVID-19 Pandemic Implies Higher Infection and Lower Detection Rates than Current Estimates,49.0,https://papers.ssrn.com/sol3/Papers.cfm?abstract_id=3562477
" The potential risk factors of older age, higher lactate dehydrogenase and C-reactive protein, elevated procalcitonin and d-dimer greater than 1μg/mL could help clinicians to identify patients with poor prognosis at an early stage. Higher lactate dehydrogenase, the elevated d-dimer, the increasing procalcitonin levels were independently associated with a dose-response increased risk of COVID-19 mortality. The combination of prognostic factors and six stages could provide the rationale for testing novel coronavirus managements in efforts to improve outcomes in the future.",2020-04-08,17.0,333.0,19.58823529411765,32.0,Dose-Response Association between Risk Factors and Incidence of COVID-19 in 325 Hospitalized Patients: A Multicenter Retrospective Cohort Study,38.0,https://papers.ssrn.com/sol3/Papers.cfm?abstract_id=3562478
" In the present study, the majority (79%) of 1,663 COVID-19 patients were aged over 50 years old. A total of 2.8% were medical staff, and an exposure history of Huanan seafood market was document in 0.7%, and 7.4% were family infection. Fever (85.8%), cough (36.0%), fatigue (23.6%) and chest tightness (11.9%) were the most common symptoms in COVID-19 patients. As of February 28, 2020, of the 1,663 patients included in this study, 26.0% were discharged, 169 died (10.2%), and 63.8% remain hospitalized. More than 1/3 of the patients had at least one comorbidity. Most (99.8%) patients had abnormal results Chest CT, and the most common manifestations of chest CT were local patchy shadowing (70.7%) and ground-glass opacity (44.8%). On admission, lymphocytopenia was present in 51.1% of the patients, mononucleosis in 26.6%, and erythrocytopenia in 61.3%. Most of the patients had increased levels of C-reactive protein. Compared to non-severe patients, severe patients might have more obvious abnormal laboratory results related to inflammation, coagulation disorders, liver and kidney damage (all P&lt;0.05).  ",2020-04-08,17.0,362.0,21.294117647058822,17.0,"Epidemiological and Clinical Characteristics of 1663 Hospitalized Patients Infected with COVID-19 in Wuhan, China",75.0,https://papers.ssrn.com/sol3/Papers.cfm?abstract_id=3562482
" The efﬁciency of NEWS on predicting poor outcomes such as admission to ICU or death was found to be superior to REMS, qSOFA and CRB65 in patients with COVID-19. Peripheral oxygen saturation may independently predict admission to ICU or death in these patients.",2020-04-08,17.0,304.0,17.88235294117647,19.0,"Evaluation of the Risk Prediction Tools for Patients with Coronavirus Disease 2019 in Wuhan, China: A Single-Centered, Retrospective, Observational Study",40.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562483
" In addition to the common belief that SARS-CoV-2 can cause pneumonia, our studies show that other organ systems could also be affected during COVID-19 infection. The injuries could lead to immunosuppression and cardiovascular dysfunction, which might contribute to increased mortality in critically ill patients.",2020-04-08,17.0,306.0,18.0,31.0,Comprehensive Comparisons to Demonstrate Immunosuppressed Status and Cardiovascular Dysfunction in COVID-19 Patients,40.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562490
"  SARS-CoV-2 infection carries a risk of mortality; based on this case series older men with underlying co-morbidities are likely at increased risk. Impaired consciousness level, markers of renal impairment and coagulation abnormalities may be poor prognostic factors.  ",2020-04-08,17.0,273.0,16.058823529411764,25.0,"Epidemiologic and Clinical Characteristics of 42 Deaths Due to SARS-CoV-2 Infection in Wuhan, China: A Retrospective Study",33.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3564376
 Our study explored the profiling of two potential novel entries of SARS-CoV-2 and provided a supplementary clue for preventing infection of SARS-CoV-2. ,2020-04-08,17.0,439.0,25.823529411764707,18.0,"Two Potential Novel SARS-CoV-2 Entries, TMPRSS2 and IFITM3, in Healthy Individuals and Cancer Patients",89.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3564377
" These findings suggest that COVID-19 syndrome in pregnancy is often mild or moderate. Although post-partum infection cannot be excluded, these findings suggest that vaginal delivery may be associated with a low risk of intrapartum SARS-Cov-2 transmission to the new-born. In consideration of the diagnosis of maternal SARS-Cov-2 infection during the post partum period, and hence to be infected but asymptomatic, in areas characterized by a high prevalence of infection, it may be safe to consider for the protection of health care providers, all delivering asymptomatic women as at risk to transmit the SARS-CoV-2.",2020-04-07,18.0,545.0,30.27777777777778,14.0,Mode of Delivery and Clinical Findings in COVID-19 Infected Pregnant Women in Northern Italy,111.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562464
" Mortality of critically ill patients with COVID-19 was high. Lymphopenia, ARDS and septic shock were notable in the clinical course of critical illness. Ventilation support and hemodynamic support were usually needed. Multi-organ failure induced by ARDS was the main death cause.    ",2020-04-07,18.0,397.0,22.055555555555557,45.0,Critically Ill Patients with COVID-19 in China: A Multicenter Retrospective Observational Study,64.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562469
" In haematological units, hospitalised HD patients and HCP are both at high risk of COVID-19 under an outbreak in Wuhan, partially attributing to hospital-associated transmission. The HD patients with COVID-19 are characterised by significant respiratory, inflammatory and haematological damages and abysmal prognosis.",2020-04-07,18.0,363.0,20.166666666666668,22.0,"Epidemiologic and Clinical Characteristics of 2019 Novel Coronavirus Disease Diagnosed in Hospital Haematology Wards in Wuhan, China: A Retrospective Cohort Study",55.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562472
" 82.04% of the SARS-CoV-2 infected patients had a travel history in Wuhan or a history of contact with returnees from Wuhan, showing typical characteristics of imported cases, and the proportion of severe COVID-19 patients was 13.2%, of which 59% were imported from Wuhan. For the patients who was returnees from Wuhan, 18.1% was asymptomatic patients. In different infection periods, compared with the proportion after 1/31/2020, the proportion of asymptomatic patient among SARS-CoV-2 infected patient was higher(19% VS 1.5%). In different age groups, the proportion of asymptomatic patient was the highest(28.6%) in children group under 14, next in elder group over 70 (27.3%). Compared with mild and common COVID-19 patients, the mean latency of asymptomatic was longer (11.25 days VS 8.86 days), but the hospital length of stay was shorter (14.3 days VS 16.96 days).",2020-04-06,19.0,360.0,18.94736842105263,14.0,"High Incidence of Asymptomatic Sars-Cov-2 Infection, Chongqing, China",51.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559583
 Our data favored the enteric tropism in the process of novel SARS-CoV-2 infection. There may be a “gut-type” in the clinical prevention and management that differ from the “lung-type” in COVID-19 sufferers.,2020-04-06,19.0,430.0,22.63157894736842,26.0,Digestive Involvement of the Coronavirus Disease 2019: Need Attention on the 'Gut-Type' in the Novel Coronaviral Infection,50.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559590
"  The clinical classification severity upgrade with age. Most patients are clinically classified as moderate cases. The outcome for the elderly and patients with diabetes, and other chronic underlying diseases is poor.  ",2020-04-06,19.0,511.0,26.894736842105264,28.0,"Clinical Features, Treatment and Outcomes of 218 Patients with COVID-19: A Retrospective, Multicenter Study Based on Clinical Classification",74.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559594
"  COVID-19 pneumonia requiring admission to the ICU had a considerably high mortality rate. Many predictors are associated with mortality, but decreased oxygenation index is the main risk factor for death in these patients. Critically ill patients with a relatively high oxygenation index should be transferred to the ICU early to reach a favorable outcome.",2020-04-06,19.0,376.0,19.789473684210527,33.0,"Characteristics of Patients with COVID-19 Pneumonia Admitted to the Intensive Care Unit and Predictors of Mortality in Wuhan, China: A Single-Centered Retrospective Cohort Study",44.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559629
 Our report illustrates that D-dimer screening and Padua score assessment is helpful in the prevention of thrombosis. It may be more beneficial to perform early Doppler ultrasound of the lower limbs in every patient with critical COVID-19.,2020-04-06,19.0,495.0,26.05263157894737,24.0,"Analysis of Risk Factors for the Thromboembolic Events from 88 Patients with COVID-19 Pneumonia in Wuhan, China: A Retrospective Report",133.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559633
" Younger age, higher levels of LDH, blood glucose, and MLR on hospital admission are associated with shorter duration from admission to invasive ventilation. These potential predictors facilitate the identification of rapid disease progression and earlier requirement for invasive ventilation in patients with COVID-19.",2020-04-06,19.0,311.0,16.36842105263158,25.0,"Potential Predictors for Early Invasive Ventilation in Critically Ill Patients with COVID-19 in Wuhan, China: A Single-Centered, Retrospective, Observational Study",33.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559634
" Taken together, these R0 values indicate that different public health policies can alter the transmissibility of SARS-CoV-2. Health authorities that responded early and decisively have reduced SARS-CoV-2 transmissibility. However, for other countries the fight against SARS-CoV-2 is an ongoing conflict. ",2020-04-06,19.0,536.0,28.210526315789473,9.0,Estimating the R 0 of SARS-CoV-2 in Different Health Systems: An Update on Transmissibility at the Country Level,128.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562449
" This model allows to estimate the impact of the protective measures implemented by public health authorities with different strengths and timings in different countries. If Community Containment measures are introduced to control the epidemic, their early and fast application seems to guarantee better results in terms of epidemic control.   ",2020-04-06,19.0,498.0,26.210526315789473,30.0,COVID-19 Italian and Europe Epidemic Evolution: A SEIR Model with Lockdown-Dependent Transmission Rate Based on Chinese Data,103.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562452
 COVID-19 is a new disease and behaves differently from common critical illnesses. This study provides a new prediction model to identify patients with lethal COVID-19. Its practical reliance on commonly available parameters should improve usage of limited healthcare resources and patient survival rate.    ,2020-04-06,19.0,322.0,16.94736842105263,31.0,Development and External Validation of a Prognostic Multivariable Model on Admission for Hospitalized Patients with COVID-19,54.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562456
" Isolation and contact tracing can be an effective means to slow down epidemics, but only if the majority of cases are ascertained. In a situation with social distancing, contact tracing can act synergistically and tip the scale towards containment, and can therefore be a tool for controlling COVID-19 epidemics.  ",2020-04-06,19.0,502.0,26.42105263157895,33.0,Isolation and Contact Tracing Can Tip the Scale To Containment of COVID-19 In Populations with Social Distancing,107.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562458
" The potential risk factors of the duration of fever, CRP and oxygen partial pressure less than 80 mmHg could benefit for clinicians to evaluate the severity of patients with COVID-19 at an early stage and provide a reference for evaluating therapeutic effect.",2020-04-06,19.0,506.0,26.63157894736842,33.0,Clinical Features and Risk Factors for the Severity of Inpatients with COVID-19: A Retrospective Cohort Study,94.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562460
" A large-scale pandemic in Europe and the United States is inevitable. The heterogeneity in Rt reveals the impact of intervention measures in different countries. The control measures in South Korea, Singapore and China could lend further insight to other countries.",2020-04-06,19.0,435.0,22.894736842105264,61.0,Comparative Analysis of Early Dynamic Trends in Novel Coronavirus Outbreak: A Modeling Framework,92.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3562461
" Lymphocyte subsets and cytokines had closely related with diagnosis type, clinical therapy and prognosis of COVID-19. The continuous imbalance of lymphocyte subsets induced uncontrolled cytokine storm characterized by IL-6 and IL-10.",2020-04-02,23.0,742.0,32.26086956521739,21.0,Matrix Analysis of Clinical Characteristics and Dynamic Observation of Immunological Features in 90 Cases of COVID-19,165.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3556688
" Within the family clusters that had SARS-CoV-2 infection, children had mild or even asymptomatic illness. Although CT being highly sensitive, it should be avoided in follow-up of the disease in consideration of the radiological hazards and limited clinical benefits from mild illness in children. Furthermore, it is recommended that both nasopharyngeal and anal swabs should be confirmed negative from the viral load prior to declaring fully recovery as a standard for quarantine.  ",2020-04-02,23.0,1055.0,45.869565217391305,30.0,"Epidemiological and Clinical Characteristics of 74 Children Infected with SARS-CoV-2 in Family Clusters in Wuhan, China",117.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3558012
" Our results show the presence of mutations, likely developed within the viral genome during its spread, one of which could affect virus intracellular survival. Genome follow-up of SARS-2-CoV spread is urgently needed in order to identify mutations that could significantly modify virus pathogenicity.",2020-04-02,23.0,556.0,24.17391304347826,25.0,Evolutionary Analysis of SARS-2-CoV: How Mutation of Non-Structural Protein 6 (NSP6) Could Affect Viral Autophagy,128.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3558013
" These results indicate that dynamics of SARS-CoV-2 specific IgM and IgG antibodies was similar with that of SARS-CoV, while elevated serum IgM levels indicate poor outcome in patients with COVID-19 pneumonia.",2020-03-31,25.0,478.0,19.12,17.0,Elevated Serum IgM Levels Indicate Poor Outcome in Patients with Coronavirus Disease 2019 Pneumonia: A Retrospective Case-Control Study,102.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557987
" The infection rate of COVID-19 in the anesthesiologists was 20.41% after intubation for confirmed COVID-19 patients. Univariate analysis showed intubation for planned treatment, intubation in operating room, intubation in airborne isolation ward, and routine rapid induction with continuous positive-pressure ventilation (PPV) for intubation were associated with lower risk of COVID-19 infection in the anesthesiologists. The reasons for intubation is intubation for planned treatment having a significant lower risk (adjusted odds ratio [OR] = 0.28, 95% confidence intervals [CI]: 0.14-0.68, P &lt; 0.0001), while patients with cough during endotracheal intubation having a significant higher risk (adjusted OR = 1.70, 95% CI: 1.39-2.97, P = 0.0404) to lead to the infection of COVID-19 in the anesthesiologists.",2020-04-01,24.0,306.0,12.75,27.0,Predictive Factors of Transmission During Endotracheal Intubation for Coronavirus Disease 2019 (COVID-19),51.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557990
" While age and underlying diseases are known risk factors for poor prognosis, patients with a less damaged immune system at the time of hospitalization had higher chance of recovery. Close monitoring of the T lymphocyte subsets might provide valuable information of the patient’s condition change during the treatment process. Our web visualization application can be used as a supplementary tool for the evaluation.",2020-04-01,24.0,342.0,14.25,28.0,"Prediction of the Clinical Outcome of COVID-19 patients Using T Lymphocyte Subsets with 340 Cases from Wuhan, China: A Retrospective Cohort Study and a Web Visualization Tool",44.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557995
" Ocular symptoms are associated with COVID-19 and in some cases, appear just before the onset of systemic symptoms. These subtle ocular symptoms may be indicative of a wider ocular involvement in COVID-19 than previously thought.   ",2020-04-01,24.0,350.0,14.583333333333334,1.0,Are Ocular Symptoms Common in Patients with COVID-19?,65.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559539
" Our mathematical models propose that SARS-CoV-2 eradication depends on systematic thinking, effective hospital isolation, and SARS-CoV-2 medicine and vaccination, and some measures including city closure and holiday policy should be taken for SARS-CoV-2 eradication.",2020-04-01,24.0,371.0,15.458333333333334,28.0,"Mathematical Models for Devising the Optimal SARS-CoV-2 Eradication in China, South Korea, Iran, and Italy",85.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559541
" The study cohort comprised 73 hypoxic patients with SARS-CoV-2 infection. The median age was 66 years and 40 (54.8%) were male. Underlying chronic medical disorders were highly prevalent. Lymphocyte absolute value was below the normal range appeared in 61 (83.6%) patients. Concomitant bacterial infection (26 [35.6%]) or sepsis (14 [19.2%]) was found in some patients. Level of IL-6 was obviously increased to 31.5pg/ml (IQR 16.5-70.9). Absolute value of CD3+, CD4+ and CD8+ T cells decreased dramatically, which highlights there was a general decline in cellular immune function.",2020-04-01,24.0,293.0,12.208333333333334,33.0,Multi-Organ Damage of Critically Ill Patients with Hyoxemia Affected by SARS-CoV-2 Infection,31.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559543
" This is the first study showing that obesity, especially in men, significantly increases the risk of developing severe pneumonia in COVID-19 patients. As the 2019n-Cov may continue to spread worldwide, clinicians should maintain a high level of attention in obese patients. Obese patients should be carefully managed with prompt and aggressive treatment.",2020-04-01,24.0,17396.0,724.8333333333334,34.0,"Obesity and COVID-19 Severity in a Designated Hospital in Shenzhen, China",1652.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3556658
" Pediatric patients with COVID-19 presented with distinct epidemiological, clinical, and radiological characteristics from adult patients. Nearly half of the infected children had co-infection with other common respiratory pathogens. It is not uncommon for pediatric patients to have prolonged fecal shedding of SARS-CoV-2 RNA during the convalescent phase. More investigations would be warranted to facilitate the diagnosis, prevention and control of COVID-19 in children.",2020-04-01,24.0,307.0,12.791666666666666,34.0,Epidemiological and Clinical Characteristics of Children with Coronavirus Disease 2019,50.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559563
 Our nomogram can be used to predict SARS-CoV-2 pneumonia accurately and favourably.,2020-04-01,24.0,254.0,10.583333333333334,38.0,Development and Validation of a Diagnostic Nomogram to Predict SARS-CoV-2 Pneumonia,32.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559564
 These results indicate that leucocyte subsets predict the clinical outcome of patients with COVID-19 pneumonia in high efficiency. Non-self-limiting inflammatory response is involved in the development of fatal pneumonia.,2020-04-01,24.0,371.0,15.458333333333334,14.0,Leucocyte Subsets Effectively Predict the Clinical Outcome of Patients with COVID-19 Pneumonia: A Retrospective Case-Control Study,67.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3559566
