Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
81,22.0,0.0778,"sars_cov, infection, mild, potential, progression, explain, young, conjunctival, immunity, epithelium"," All the age groups of children under ten years old were susceptible to SARS-CoV-2 infection. However, children under two years old had stronger immunity to the virus and recovered faster than the older patients. Co-infection of mycoplasma pneumonia may affect the duration of illness. In addition to antiviral treatment, antibiotics should be used to treat the older pediatric patients for bacterial co-infections. "
82,53.0,0.0563,"identify, relate, peak, major, contribute, potential, introduction, issue, political, measure"," Diarrhea was specially presented in COVID-19 patients and related with the longer course and poorer outcome of the disease due to potential higher viral burden, which may not be overlooked particular in a subgroup of patients with diarrhea as the initial or major symptom. Herein, it should take seriously the role of fecal coronavirus in the criteria of diagnosis and clinical cure."
83,60.0,0.0495,"prevent, authority, future, medical_staff, research, hospital, cross, action, outpatient, citizen"," The variations of SARS-CoV-2 specific NAbs in recovered COVID-19 patients may raise the concern about the role of NAbs on disease progression. The correlation of NAb titers with age, lymphocyte counts, and blood CRP levels suggested that the interplay between virus and host immune response in coronavirus infections should be further explored for the development of effective vaccine against SARS-CoV-2 virus. Furthermore, titration of NAb is helpful prior to the use of convalescent plasma for prevention or treatment.      "
84,73.0,0.0985,"quarantine, survivor, stress, worry, improve, post, anxiety, depression, family, physical"," During this nationwide lockdown, more than half of Chinese adults were temporarily living in a sedentary lifestyle with insufficient physical activity, more screen time, and poor emotion states, which may carry considerable health risks. Promotion of home-based self-exercise can potentially help improve health and wellness. "
85,9.0,0.096,"include, support, analysis, organ, ventilation, ard, individual, biomarker, ventilatory, strategy"," From 29/02 to 10/03 611 patients with a suspected diagnosis of COVID-19 infection were admitted at our ED; 320 (52%) met the criteria for hospital admission. Among those admitted to the hospital, 99 (31%) needed to be immediately started on ventilatory support (81% CPAP, 7% NIV, 12% Invasive Mechanical Ventilation). Among the patients on ventilatory support, 17% received a diagnosis of mild, 51% of moderate, and 31% of severe ARDS. Eighty-five (86%) of the 99 patients needing a ventilatory support eventually had SARS-CoV-2 infection confirmed by PCR test on nasal-pharyngeal swab. The overall mortality rate as of march, 23rd was 61,2%, ranging from 100% in patients older than 80 years to 0% in those younger than 50 years old. NIV/CPAP failure occurred in 87,1% of patients. "
86,18.0,0.1319,"child, clinical, history, characteristic, exposure, epidemiological, adult, long, fecal, describe"," Children accounted for 1•16 % of mild cases. Some children had uncertain contact history and no clinical symptoms. The etiological diagnosis of children was more important than clinical diagnosis. Disappearance of clinical manifestations of children and the SARS-CoV-2 nucleic acid test with positive result were not parallel. SARS-CoV-2 had long detoxification time, and SARS-CoV-2 cases with positive results appeared again. The production regularity of SARS-CoV-2 IgM and IgG in children and their effect on the body remain unknown."
87,7.0,0.2009,"follow, present, patient, baseline, progress, severity, lesion, diarrhea, differentiate, plasma"," A total of 135 elderly subjects with T2D with baseline and follow-up fasting plasma glucose and 50 elderly subjects with T2D with baseline and follow-up HbA1c were analyzed, respectively. The baseline and follow-up fasting plasma glucose were 7.08±1.80 and 7.48±2.14 mmol/L, respectively (P=0.008). The baseline and follow-up HbA1c were 7.2±1.7% and 7.4±1.8%, respectively (P=0.158)."
88,39.0,0.0492,"high, risk, multi, lymphopenia, state, middle, change, chinese, modulator, shock",    Poor sleep quality and high working pressure were positively associated with high risks of COVID-19. A novel IBM of COVID-19 transmission is suitable for simulating different outbreak patterns in a hospital setting.  
89,55.0,0.0658,"covid, low, recommend, admission, manifest, strongly, addition, inhibitor, research, nursing"," High nursing concentrations are strongly associated with reduced mortality rates of COVID-19. The key to address the needs of current and future COVID-19 outbreaks, or for that matter, any infectious disease outbreak of this magnitude is to prepare a highly trained, versatile nursing workforce."
90,23.0,0.1886,"early, progression, facilitate, identification, week, helpful, ldh, invasive_ventilation, rapid, age"," Younger age, as well as higher levels of LDH, blood glucose, and MLR were associated with shorter duration from admission to invasive ventilation in critically ill patients with COVID-19. These potential risk factors may facilitate the identification of rapid disease progression and early requirement for invasive ventilation."
91,74.0,0.0936,"age, develop, attention, people, pay, make, susceptible, highlight, strategy, worldwide"," Apparently hookah smoking played a crucial role in spreading COVID-19 in Iran and has made younger people more susceptible. In addition to higher age, immunosuppressive effects of Metformin probably made diabetic patients, who have impaired immune systems, more vulnerable to improve severe COVID-19 pneumonia. More studies on the immune system of vulnerable individuals and identifying their differences, can pave the road to protect them. "
92,42.0,0.2066,"patient, compare, demonstrate, cancer, years_old, blood, lymphopenia, approximately, surgery, expire"," Patients with blood cancer, lung cancer, and metastatic cancer demonstrated a higher incidence of severe events compared to patients without cancer. In addition, patients who underwent immunotherapy or cancer surgery had higher death rates and higher chances of having critical symptoms."
93,66.0,0.0476,"suggest, finding, change, lack, minimize, injury, carrier, negative, physician, establishment","  We drew a clear picture of disease progression in non-survivors. Our data showed biochemical and immune parameters dynamically changed during illness evolution in non-survivors, suggesting the importance of early intervention."
94,56.0,0.041,"risk, factor, identify, independent, public, covid, target, demographic, excretion, protease"," Herein, for the first time, we have demonstrated that ciprofloxacin and moxifloxacin may interact with COVID-19 Main Protease (Mpro) which indicates that both fluoroquinolone antibiotics may be potential inhibitors of the tested protease."
95,63.0,0.0476,"screen, timely, current, screening, base, assessment, dynamic, large, surveillance, confirmation"," Parameters that successfully reproduce the observed number of cases indicate that both R 0 and the prevalence of the virus might be underestimated. This is in concordance with the newest research on undocumented COVID-19 cases. Consequently, the actual mortality rate is putatively lower than estimated. Confirmation of the pandemic characteristic by further refinement of the model and screening tests is crucial for developing an effective strategy for the global epidemiological crisis."
96,1.0,0.0985,"level, crp, elevate, dimer, correlation, range, significant, lactate_dehydrogenase, normal, ferritin"," The potential risk factors of older age, higher lactate dehydrogenase and C-reactive protein, elevated procalcitonin and d-dimer greater than 1μg/mL could help clinicians to identify patients with poor prognosis at an early stage. Higher lactate dehydrogenase, the elevated d-dimer, the increasing procalcitonin levels were independently associated with a dose-response increased risk of COVID-19 mortality. The combination of prognostic factors and six stages could provide the rationale for testing novel coronavirus managements in efforts to improve outcomes in the future."
97,32.0,0.1028,"patient, admission, abnormal, inflammation, proportion, coinfection, cellular, correction, concern, grass"," In the present study, the majority (79%) of 1,663 COVID-19 patients were aged over 50 years old. A total of 2.8% were medical staff, and an exposure history of Huanan seafood market was document in 0.7%, and 7.4% were family infection. Fever (85.8%), cough (36.0%), fatigue (23.6%) and chest tightness (11.9%) were the most common symptoms in COVID-19 patients. As of February 28, 2020, of the 1,663 patients included in this study, 26.0% were discharged, 169 died (10.2%), and 63.8% remain hospitalized. More than 1/3 of the patients had at least one comorbidity. Most (99.8%) patients had abnormal results Chest CT, and the most common manifestations of chest CT were local patchy shadowing (70.7%) and ground-glass opacity (44.8%). On admission, lymphocytopenia was present in 51.1% of the patients, mononucleosis in 26.6%, and erythrocytopenia in 61.3%. Most of the patients had increased levels of C-reactive protein. Compared to non-severe patients, severe patients might have more obvious abnormal laboratory results related to inflammation, coagulation disorders, liver and kidney damage (all P&lt;0.05).  "
98,27.0,0.0901,"death, hospitalization, elderly, main, icu, require, predictor, person, system, develop"," The efﬁciency of NEWS on predicting poor outcomes such as admission to ICU or death was found to be superior to REMS, qSOFA and CRB65 in patients with COVID-19. Peripheral oxygen saturation may independently predict admission to ICU or death in these patients."
99,54.0,0.0338,"lt, total, result, die, severe, cardiovascular, affect, area, pregnancy, associate"," In addition to the common belief that SARS-CoV-2 can cause pneumonia, our studies show that other organ systems could also be affected during COVID-19 infection. The injuries could lead to immunosuppression and cardiovascular dysfunction, which might contribute to increased mortality in critically ill patients."
100,50.0,0.0766,"poor, associate, prognosis, underlie, disease, age, level, impair, diabetes, abnormality","  SARS-CoV-2 infection carries a risk of mortality; based on this case series older men with underlying co-morbidities are likely at increased risk. Impaired consciousness level, markers of renal impairment and coagulation abnormalities may be poor prognostic factors.  "
101,22.0,0.0609,"sars_cov, infection, mild, potential, progression, explain, young, conjunctival, immunity, epithelium", Our study explored the profiling of two potential novel entries of SARS-CoV-2 and provided a supplementary clue for preventing infection of SARS-CoV-2. 
102,66.0,0.0702,"suggest, finding, change, lack, minimize, injury, carrier, negative, physician, establishment"," These findings suggest that COVID-19 syndrome in pregnancy is often mild or moderate. Although post-partum infection cannot be excluded, these findings suggest that vaginal delivery may be associated with a low risk of intrapartum SARS-Cov-2 transmission to the new-born. In consideration of the diagnosis of maternal SARS-Cov-2 infection during the post partum period, and hence to be infected but asymptomatic, in areas characterized by a high prevalence of infection, it may be safe to consider for the protection of health care providers, all delivering asymptomatic women as at risk to transmit the SARS-CoV-2."
103,9.0,0.1066,"include, support, analysis, organ, ventilation, ard, individual, biomarker, ventilatory, strategy"," Mortality of critically ill patients with COVID-19 was high. Lymphopenia, ARDS and septic shock were notable in the clinical course of critical illness. Ventilation support and hemodynamic support were usually needed. Multi-organ failure induced by ARDS was the main death cause.    "
104,30.0,0.1871,"type, associate, inflammatory, wuhan, hospital, damage, unit, center, partially, hd"," In haematological units, hospitalised HD patients and HCP are both at high risk of COVID-19 under an outbreak in Wuhan, partially attributing to hospital-associated transmission. The HD patients with COVID-19 are characterised by significant respiratory, inflammatory and haematological damages and abysmal prognosis."
105,58.0,0.1636,"infect, asymptomatic, patient, proportion, long, place, travel, zhejiang, investigation, allocate"," 82.04% of the SARS-CoV-2 infected patients had a travel history in Wuhan or a history of contact with returnees from Wuhan, showing typical characteristics of imported cases, and the proportion of severe COVID-19 patients was 13.2%, of which 59% were imported from Wuhan. For the patients who was returnees from Wuhan, 18.1% was asymptomatic patients. In different infection periods, compared with the proportion after 1/31/2020, the proportion of asymptomatic patient among SARS-CoV-2 infected patient was higher(19% VS 1.5%). In different age groups, the proportion of asymptomatic patient was the highest(28.6%) in children group under 14, next in elder group over 70 (27.3%). Compared with mild and common COVID-19 patients, the mean latency of asymptomatic was longer (11.25 days VS 8.86 days), but the hospital length of stay was shorter (14.3 days VS 16.96 days)."
106,30.0,0.0431,"type, associate, inflammatory, wuhan, hospital, damage, unit, center, partially, hd", Our data favored the enteric tropism in the process of novel SARS-CoV-2 infection. There may be a “gut-type” in the clinical prevention and management that differ from the “lung-type” in COVID-19 sufferers.
107,50.0,0.0703,"poor, associate, prognosis, underlie, disease, age, level, impair, diabetes, abnormality","  The clinical classification severity upgrade with age. Most patients are clinically classified as moderate cases. The outcome for the elderly and patients with diabetes, and other chronic underlying diseases is poor.  "
108,27.0,0.0917,"death, hospitalization, elderly, main, icu, require, predictor, person, system, develop","  COVID-19 pneumonia requiring admission to the ICU had a considerably high mortality rate. Many predictors are associated with mortality, but decreased oxygenation index is the main risk factor for death in these patients. Critically ill patients with a relatively high oxygenation index should be transferred to the ICU early to reach a favorable outcome."
109,8.0,0.0444,"low, score, significant, intubation, plan, efficacy, adjust, loneliness, treatment, interval", Our report illustrates that D-dimer screening and Padua score assessment is helpful in the prevention of thrombosis. It may be more beneficial to perform early Doppler ultrasound of the lower limbs in every patient with critical COVID-19.
110,23.0,0.189,"early, progression, facilitate, identification, week, helpful, ldh, invasive_ventilation, rapid, age"," Younger age, higher levels of LDH, blood glucose, and MLR on hospital admission are associated with shorter duration from admission to invasive ventilation. These potential predictors facilitate the identification of rapid disease progression and earlier requirement for invasive ventilation in patients with COVID-19."
111,25.0,0.0623,"pandemic, community, health, term, policy, system, strategy, economic, ongoing, area"," Taken together, these R0 values indicate that different public health policies can alter the transmissibility of SARS-CoV-2. Health authorities that responded early and decisively have reduced SARS-CoV-2 transmissibility. However, for other countries the fight against SARS-CoV-2 is an ongoing conflict. "
112,64.0,0.0848,"control, prevention, measure, strong, protective, bring, efficiently, introduce, infectiousness, key"," This model allows to estimate the impact of the protective measures implemented by public health authorities with different strengths and timings in different countries. If Community Containment measures are introduced to control the epidemic, their early and fast application seems to guarantee better results in terms of epidemic control.   "
113,29.0,0.0866,"healthcare, lead, provide, household, closure, school, parameter, obligation, reduction, mutation", COVID-19 is a new disease and behaves differently from common critical illnesses. This study provides a new prediction model to identify patients with lethal COVID-19. Its practical reliance on commonly available parameters should improve usage of limited healthcare resources and patient survival rate.    
114,47.0,0.1142,"transmission, contact, isolation, effective, close_contact, virus, containment, trace, step, due"," Isolation and contact tracing can be an effective means to slow down epidemics, but only if the majority of cases are ascertained. In a situation with social distancing, contact tracing can act synergistically and tip the scale towards containment, and can therefore be a tool for controlling COVID-19 epidemics.  "
115,61.0,0.0432,"effect, coronavirus, therapeutic, recovery, time, oxygen, reveal, relationship, attributable, dry"," The potential risk factors of the duration of fever, CRP and oxygen partial pressure less than 80 mmHg could benefit for clinicians to evaluate the severity of patients with COVID-19 at an early stage and provide a reference for evaluating therapeutic effect."
116,25.0,0.0487,"pandemic, community, health, term, policy, system, strategy, economic, ongoing, area"," A large-scale pandemic in Europe and the United States is inevitable. The heterogeneity in Rt reveals the impact of intervention measures in different countries. The control measures in South Korea, Singapore and China could lend further insight to other countries."
117,15.0,0.0937,"lymphocyte, count, subset, low, neutrophil, lymphocyte_count, white, reactive_protein, ast, trend"," Lymphocyte subsets and cytokines had closely related with diagnosis type, clinical therapy and prognosis of COVID-19. The continuous imbalance of lymphocyte subsets induced uncontrolled cytokine storm characterized by IL-6 and IL-10."
118,19.0,0.0452,"critical, illness, mild, decrease, iqr, trend, condition, improve, cell, restrictive"," Within the family clusters that had SARS-CoV-2 infection, children had mild or even asymptomatic illness. Although CT being highly sensitive, it should be avoided in follow-up of the disease in consideration of the radiological hazards and limited clinical benefits from mild illness in children. Furthermore, it is recommended that both nasopharyngeal and anal swabs should be confirmed negative from the viral load prior to declaring fully recovery as a standard for quarantine.  "
119,59.0,0.0571,"spread, prevent, give, place, order, clue, sars_cov, set, decisive, estimate"," Our results show the presence of mutations, likely developed within the viral genome during its spread, one of which could affect virus intracellular survival. Genome follow-up of SARS-2-CoV spread is urgently needed in order to identify mutations that could significantly modify virus pathogenicity."
120,50.0,0.0451,"poor, associate, prognosis, underlie, disease, age, level, impair, diabetes, abnormality"," These results indicate that dynamics of SARS-CoV-2 specific IgM and IgG antibodies was similar with that of SARS-CoV, while elevated serum IgM levels indicate poor outcome in patients with COVID-19 pneumonia."
121,8.0,0.2018,"low, score, significant, intubation, plan, efficacy, adjust, loneliness, treatment, interval"," The infection rate of COVID-19 in the anesthesiologists was 20.41% after intubation for confirmed COVID-19 patients. Univariate analysis showed intubation for planned treatment, intubation in operating room, intubation in airborne isolation ward, and routine rapid induction with continuous positive-pressure ventilation (PPV) for intubation were associated with lower risk of COVID-19 infection in the anesthesiologists. The reasons for intubation is intubation for planned treatment having a significant lower risk (adjusted odds ratio [OR] = 0.28, 95% confidence intervals [CI]: 0.14-0.68, P &lt; 0.0001), while patients with cough during endotracheal intubation having a significant higher risk (adjusted OR = 1.70, 95% CI: 1.39-2.97, P = 0.0404) to lead to the infection of COVID-19 in the anesthesiologists."
122,50.0,0.0675,"poor, associate, prognosis, underlie, disease, age, level, impair, diabetes, abnormality"," While age and underlying diseases are known risk factors for poor prognosis, patients with a less damaged immune system at the time of hospitalization had higher chance of recovery. Close monitoring of the T lymphocyte subsets might provide valuable information of the patient’s condition change during the treatment process. Our web visualization application can be used as a supplementary tool for the evaluation."
123,6.0,0.063,"disease, onset, chronic, ocular, control, syndrome, fatal, treat, clustering, common"," Ocular symptoms are associated with COVID-19 and in some cases, appear just before the onset of systemic symptoms. These subtle ocular symptoms may be indicative of a wider ocular involvement in COVID-19 than previously thought.   "
124,33.0,0.0425,"study, treatment, trial, phase, clinical, chinese, medicine, effective, preliminary, integrate"," Our mathematical models propose that SARS-CoV-2 eradication depends on systematic thinking, effective hospital isolation, and SARS-CoV-2 medicine and vaccination, and some measures including city closure and holiday policy should be taken for SARS-CoV-2 eradication."
125,26.0,0.1005,"cell, cd, immune, ace, expression, level, kirp, ucec, neutrophil, study"," The study cohort comprised 73 hypoxic patients with SARS-CoV-2 infection. The median age was 66 years and 40 (54.8%) were male. Underlying chronic medical disorders were highly prevalent. Lymphocyte absolute value was below the normal range appeared in 61 (83.6%) patients. Concomitant bacterial infection (26 [35.6%]) or sepsis (14 [19.2%]) was found in some patients. Level of IL-6 was obviously increased to 31.5pg/ml (IQR 16.5-70.9). Absolute value of CD3+, CD4+ and CD8+ T cells decreased dramatically, which highlights there was a general decline in cellular immune function."
126,74.0,0.0431,"age, develop, attention, people, pay, make, susceptible, highlight, strategy, worldwide"," This is the first study showing that obesity, especially in men, significantly increases the risk of developing severe pneumonia in COVID-19 patients. As the 2019n-Cov may continue to spread worldwide, clinicians should maintain a high level of attention in obese patients. Obese patients should be carefully managed with prompt and aggressive treatment."
127,18.0,0.123,"child, clinical, history, characteristic, exposure, epidemiological, adult, long, fecal, describe"," Pediatric patients with COVID-19 presented with distinct epidemiological, clinical, and radiological characteristics from adult patients. Nearly half of the infected children had co-infection with other common respiratory pathogens. It is not uncommon for pediatric patients to have prolonged fecal shedding of SARS-CoV-2 RNA during the convalescent phase. More investigations would be warranted to facilitate the diagnosis, prevention and control of COVID-19 in children."
128,0.0,0.0505,"model, predict, indicator, predictive, regression, accurately, sensitivity, cohort, score, base", Our nomogram can be used to predict SARS-CoV-2 pneumonia accurately and favourably.
129,4.0,0.0458,"system, national, information, process, point, great, occur, efficiency, cepe, diarrhea", These results indicate that leucocyte subsets predict the clinical outcome of patients with COVID-19 pneumonia in high efficiency. Non-self-limiting inflammatory response is involved in the development of fatal pneumonia.
130,64.0,0.1036,"control, prevention, measure, strong, protective, bring, efficiently, introduce, infectiousness, key"," Social and demographic aspects can explain the dramatic involvement of some provinces. A strong evidence is found that strict control measures implemented in some provinces efficiently break contagions and limit the spread to nearby areas. While policies to contain the 1 spreading of the disease may potentially be more effective if planned considering the peculiarities of local territories, the effective and homogeneous enforcement of control measures at national level is imperative to prevent the disease control being delayed or missed as a whole. This may also apply at international level where, as it is for the EU or the USA, the internal border checks among states have largely been abolished."
131,59.0,0.0949,"spread, prevent, give, place, order, clue, sars_cov, set, decisive, estimate"," Although the number of confirmed patients of COVID-19 in South Korea is still increasing, the upward slope tends to decrease. The efforts of the government, society, and medical staffs contributed greatly to prevent the spread of the disease. The messages given by the situation in South Korea would give clues to other countries to prevent the spread of COVID-19."
132,47.0,0.0919,"transmission, contact, isolation, effective, close_contact, virus, containment, trace, step, due"," The applicability of our model to the COVID-19 transmission dynamics in both countries relies on taking into account the strict containment measures that were implemented, such as the timely confirmation of the infected, the extensive efforts to isolate the infected, and the tracing and quarantining of their contacts. With these measures put in place, we expect the actual transmission dynamics to follow our model."
133,24.0,0.0505,"respiratory, severe, incidence, acute, failure, meta, strengthen, case, shorten, professional"," OMSS is an effective screening tool to assess the capability to maintain the balance of oxygen supply and consumption in COVID-19 patients by which physicians can shorten the reaction time to execute rational respiratory support therapies, thus preventing hypoxemia-associated negative events."
134,46.0,0.0516,"result, test, positive, nucleic_acid, chest, quantitative, recurrent, evaluate, site, arb", COVID-19 patients in Guangxi mainly presented as family clustering. Pulmonary fibrosis occurred in some patients. The number of viral nucleic acid tests in different samples of the body and the chest imaging characteristics of more patients should be further explored. 
135,48.0,0.2697,"function, severe, cytokine, monitoring, kidney, addition, protect, renal, storm, condition"," To prevent fatality in such conditions, we suggested a high degree of caution in monitoring the kidney functions of severe COVID-19 patients regardless of the past disease history. In addition, upon day-by-day monitoring, clinicians should consider any potential interventions to protect kidney functions at the early stage of the disease and renal replacement therapies in severely ill patients, particularly for those with strong inflammatory reactions or a cytokine storm.  "
136,6.0,0.1044,"disease, onset, chronic, ocular, control, syndrome, fatal, treat, clustering, common"," The COVID-19 has a clustering morbidity trend and older people with chronic diseases are more likely to die, such as chronic renal insufficiency and chronic cardiovascular disease. The COVID-19 score system was validated to predict the clinical outcome of a patient. The investigators of this research further developed a prognostic scoring system to distinguish early stage pneumonia from advanced pneumonia. "
137,41.0,0.0556,"difference, show, significant, observe, tool, result, glucose, analysis, gt, confirm"," While we found no significant evidence that ACE2 is associated with disease severity/sex bias in the Italian population, TMPRSS2 levels and genetic variants proved to be possible candidate disease modulators, contributing to the observed epidemiological data among Italian patients. "
138,13.0,0.0895,"outbreak, emergency, improve, response, effective, infectious, capacity, manage, detect, highly"," The results consist of a series of maps of effective distance, outbreak probability, hospital capacity and social vulnerability.  They show areas in the North and Northeast with high risk of COVID-19 outbreak that are also highly vulnerable.  "
139,3.0,0.0616,"positive, negative, swab, show, throat, median, sample, stool, specimen, tract"," The novel method accurately detected 8/10 PCR positive cases and identified a further 3 positive cases. Eight further cases were negative using both methods. Using repeated RT-PCR as a “gold standard”, the sensitivity and specificity of the novel test were 80% and 73% respectively. Positive predictive value (PPV) was 73% and negative predictive value (NPV) was 83%. We also observed hypothermia to be a significant early clinical sign in a number of COVID-19 patients in this setting."
140,36.0,0.1757,"china, epidemic, hubei, area, region, reach, quickly, delay, underestimate, mainland"," The quartic model showed the best fit. For almost all areas in mainland China, the speed of infections reached Speedmax and began to decline within 14 days; exceptions were Hebei, Heilongjiang, Hainan, Guizhou, and Hubei. The number of plateaus was significantly correlated with the emigration index. However, the distance from other areas to Hubei and the number of plateaus had little influence on when a province or area arrived at Speedmax. Once strict intervention strategies were implemented, diffusion and deterioration of COVID-19 were inhibited quickly and effectively over China."
141,12.0,0.0359,"care, medical, resource, worker, prompt, home, provider, personnel, facility, expose", The proposed model can be effectively used for finding out the mild patients who are easy to deteriorate into severe/critical cases so that such patients get timely treatments while alleviating the limitations of medical resources.
142,35.0,0.0952,"population, evidence, city, clinician, emerge, comorbiditie, provide, level, determine, vulnerable"," The findings of this systematic review should act as a guide for clinicians in interpreting CT scans of patients where COVID-19 is suspected. As research progresses, new radiographic findings may emerge, and clinicians should adapt as evidence emerges. "
143,18.0,0.0474,"child, clinical, history, characteristic, exposure, epidemiological, adult, long, fecal, describe"," While the results might not be the same in societies with different levels of trust towards relevant governmental and professional institutions, and variances in self-protective behaviours scores explained by our model are modest, even a small boost in engagement in self-protective behaviours could go a long way in viral epidemics like the one we are faced with today."
144,70.0,0.1292,"epidemic, social, psychological, government, distress, potentially, adverse, impact, slow, student"," Of 1607 respondents, 1588 returned valid questionnaires and were included in the analysis. Nearly one quarter (22.8%) had high levels of psychological distress (K6 score ≥ 13). Individuals with higher psychological distress spent more time searching for information about COVID-19, had a history of contact with epidemic areas, more frequently adopted a negative coping style, and reported less social support than those with lower psychological distress."
145,48.0,0.2659,"function, severe, cytokine, monitoring, kidney, addition, protect, renal, storm, condition"," To prevent fatality in such conditions, we suggested a high degree of caution in monitoring the kidney functions of severe COVID-19 patients regardless of the past disease history. In addition, upon day-by-day monitoring, clinicians should consider any potential interventions to protect kidney functions at the early stage of the disease and renal replacement therapies in severely ill patients, particularly for those with strong inflammatory reactions or a cytokine storm."
146,27.0,0.0702,"death, hospitalization, elderly, main, icu, require, predictor, person, system, develop", Population aging is a significant factor driving high COVID-19 death rates in Italy. Despite a well-structured healthcare system the explosive epidemic has heavily impacted on the elderly. Further studies are required to delineate other factors in geographical differences in death rates. 
147,73.0,0.1029,"quarantine, survivor, stress, worry, improve, post, anxiety, depression, family, physical"," Perceived stress of men and women during quarantine for the COVID-19 outbreak was both closely related to their daily life during their restriction at home, although there were identifiable gender differences. Our findings will help shape improved policies and interventions to help reduce stress, and thereby improve both mental and physical health, during future infectious disease outbreaks. "
148,71.0,0.1136,"number, method, estimate, time, cfr, reduce, optimal, resource, study, government"," The current strategy of estimating the CFR by dividing the number of deaths by the number of cases should not be used anymore as it is unreliable. Moving forward we suggest instead the use of maximum likelihood models which correct for time-dependent bias. This may allow public health organizations and local, state, and national governments to more accurately direct resources (e.g. test kits and vaccines) to places that would be most in need by compensating for the time delay inherent in this urgent ongoing pandemic."
149,16.0,0.0376,"increase, covid, severity, related, decrease, enhance, human, datum, guideline, fatality"," Herein, we show that in a susceptible population to COVID-19, strict infection control measures can curb human-to-human transmission, and ensure timely delivery of RT to cancer patients."
150,52.0,0.0854,"covid, clinical, outcome, characteristic, pregnant_woman, sar, great, bad, mer, maternal"," Clinical features were not characteristic in pregnant women who developed relatively more severe COVID-19 pneumonia at presentation with a slower recovery course. Perinatal COVID-19 infection could potentially superimpose the risks of complications upon the mothers and their fetuses. Fortunately, the health status of neonates indicated that there was no evidence of the maternal-to-fetal transmission of COVID-19 in women during late pregnancy."
151,51.0,0.1626,"day, period, average, generation, onset, median, significantly, earlier, standard, stay"," Case #0 was a Chinese person who visited Germany for professional reasons. Sixteen subsequent cases emerged in four transmission generations. Signature mutations occurred upon foundation of generation 2, as well as in one patient pertaining to generation 4. Median incubation period and serial interval were 4.0 days, respectively. Transmissions occurred frequently pre-symptomatic, at day of symptom onset and during prodromal phase (symptoms other than fever and cough for ≥1 day at beginning of illness phase). Attack rates were 75% among members of a household cluster in common isolation, 10% among household contacts only together until isolation of case, and 5% among non-household high-risk contacts."
152,60.0,0.0494,"prevent, authority, future, medical_staff, research, hospital, cross, action, outpatient, citizen","  To our knowledge, this work is the first report showing the prevalence of diabetes mellitus in patients with 2019-nCoV, which is beneficial to prevent the spread of 2019-nCoV in the future."
153,30.0,0.041,"type, associate, inflammatory, wuhan, hospital, damage, unit, center, partially, hd"," The mechanism of COVID-19 is still unclear, but it is certain that the infection of new coronavirus can lead to heart damage. Myocardial injury may be related to virus replication, immune factors, drug toxicity, low organ functional reserve, hypoxia, sympathetic excitation, and psychological factors. Progressive thickening of the myocardium in critical cases is common and may be associated with immune reaction.   "
154,31.0,0.147,"severe, patient, significantly, year, male, age, positively, mild, detect, gold"," Severe COVID-19 patients were significantly older than the no severe patients. Immune systems of severe COVID-19 patients were significantly suppressed, and advanced age(&gt;50 years), low levels of CD4 (≤461) or CD8 (≤241) was important clinical manifestations of rapid deterioration. CK values in severe COVID-19 patients were significantly higher than in no severe patients. CD4 and CD8 were incorporated into the MuLBSTA to establish a new model, which is an ideal risk prediction model for COVID-19 patients. "
155,49.0,0.0948,"intervention, measure, outbreak, strict, implement, current, individual, maintain, decline, beijing", It should be paid more attentions to the high incidence of coinfections with M. pneumoniae in the COVID-19 patients. It is necessary to assess the transmissibility of asymptomatic infected individuals and other possibilities for SARS-CoV-2 transmission. The strict intervention measures should be adopted by the public to lower basic reproduction number and stop the spread.
156,56.0,0.0541,"risk, factor, identify, independent, public, covid, target, demographic, excretion, protease"," The low peripheral blood lymphocyte count was an independent risk factor for SARS-CoV-2 pneumonia patients converting to severe cases. This finding may help clinicians more accurately predict prognosis, and triage priorities to improve clinical outcomes."
157,37.0,0.3389,"high, stage, study, viral, saliva, indication, demonstrate, load, deteriorate, salivary_glands"," This study thus confirms the expression of ACE2 in the salivary glands, and demonstrates the possibility of 2019-nCoV infection of the salivary glands. The reason that the positive saliva detection rate was as high as 75% (3/4) in critically-ill patients in our study might be due to virus invasion caused by high viral loads or destroyed salivary glands at the late stage of the disease. The emergence of viral particles in the saliva might be an indication that the disease condition of the patient has deteriorated and progressed to the terminal stage. Hence, saliva may be a new source of diagnostic specimens for critically-ill patients, since it can be easily collected without any invasive procedures.The two major oral-related symptoms, dry mouth and amblygeustia, were manifested by a relatively high proportion of COVID-19 patients suggesting that oral symptoms can also be considered as initial symptoms of COVID-19 infection."
158,11.0,0.0587,"disease, find, monitor, multiple, important, approach, potential, additionally, isolation, specific"," The transmission dynamics of Taizhou cases were basically consistent with the national situation. In non-severe patients, only abnormal results of the laboratory examination of the inflammation project were found, while in severe patients, dysfunction of multiple systems not only the respiratory system was found. Differences in the results of some laboratory items can be used to assess the severity of the disease. CT manifestations of consolidation, bronchodilatation signs and bronchodilatation signs are indications of aggravation of the disease."
