Abstract,Date,Downloads,Refrences,,Impact,Search,Views,url
"Monitoring the trends of symptoms is more important for identifying severe cases. Excessive laboratory data and physical examination are not necessary for the evaluation of patients with mild symptoms. The system we developed is the first to convert the subjective symptoms of patients into objective scores. This type of O2O, subjective-to-objective strategy may be used in regions with similar highly infectious diseases to minimize the possibility of infection among medical staff.",2020-03-06,397.0,8.0,19,20.8947368421053,Evaluation of the Clinical Characteristics of Suspected or Confirmed Cases of COVID-19 During Home Care with Isolation: A New Retrospective Analysis Based on O2O,73.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548746&utm_source=EC&utm_medium=Connect
"The Wuhan authorities restricted citizens' freedom of expression, prevent Dr.Li from warning citizen and medical staff about infectivity of COVID-19. The administrative actions of Wuhan authorities artificially creating hospital outpatient cross-infection and additional close contacts. The influence of authorities infringe upon human rights on epidemic prevention need special research by future studies.",2020-03-06,389.0,33.0,19,20.4736842105263,"Impact of Wuhan's Epidemic Prevention Policy on the Outbreak of COVID-19 in Wuhan, China",100.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3548759&utm_source=EC&utm_medium=Connect
The predictive effect of CD3+ lymphocyte typing count on the clinical outcome of COVID-19 was better than that of routine lymphocyte count. Elevated at-admission procalcitonin and prothrombin time were independent prognostic factors for death.,2020-03-05,1254.0,18.0,20,62.7,"Clinical and Laboratory Factors Predicting the Prognosis of Patients with COVID-19: An Analysis of 127 Patients in Wuhan, China",322.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546118&utm_source=EC&utm_medium=Connect
"The early response significantly decreased the newly-confirmed rate and the newly-confirmed number after 11 days of initiation. The conditional treatment effect estimation showed that provinces responded 1 day earlier could averagely reduce 2.2% newly-confirmed rate and 497.4 newly confirmed cases per 10,000 population per square kilometer.",2020-03-05,669.0,13.0,20,33.45,The Effect of Early Response During COVID-2019 Outbreak: A Quasi Experiment,85.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546113&utm_source=EC&utm_medium=Connect
"Most cases in children were mild(21.4%) and conventional cases (78.6%), with mild clinical signs and symptoms, and all cases were of family clusters. Fever (35.7%) and dry cough (21.4%) were described as clinical manifestations in children cases. Dry cough and phlegm were not the most common symptoms in children compared with adults (p=0.03). In the early stages of the disease, lymphocyte counts did  not significantly decline but neutrophils counts did in children compared with adults (p=0.00). There was an elevated level of LDH(p=0.01) and a lower level of CRP(p=0.00)and IL-6(p=0.01) in children compared with  adults.",2020-03-05,652.0,24.0,20,32.6,Clinical Characteristics of COVID-19 in Children Compared with Adults Outside of Hubei Province in China,170.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546097&utm_source=EC&utm_medium=Connect
"In this study, we developed two predictive models for in-hospital mortality of COVID-19 patients in Wuhan. They can help to effectively predict the poor prognosis of COVID-19 patients at an early stage, and may provide practical decision-making suggestions on which patients should be paid close attention and given high-level treatments.",2020-03-05,494.0,18.0,20,24.7,Clinical and Laboratory Predictors of In-Hospital Mortality in 305 Patients with COVID-19: A Cohort Study in Wuhan China,167.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546115&utm_source=EC&utm_medium=Connect
Our model simulation showed that highly populated modern cities are particularly vulnerable and lessons learned in China could facilitate other countries to plan the proactive and decisive actions. We shall pay close attention to the asymptomatic transmission being suggested by rapidly accumulating evidence as dramatic changes in quarantine protocol are required to contain SARS-CoV-2 from spreading globally.,2020-03-05,471.0,13.0,20,23.55,"Transportation, Germs, Culture: A Dynamic Graph Model of COVID-19 Outbreak",146.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544816&utm_source=EC&utm_medium=Connect
SARS-CoV-2 may cause the liver function damage and the Lopinavir/ritonavir should be applied carefully for the treatment of COVID-19.,2020-03-05,464.0,31.0,20,23.2,Clinical Features of COVID-19-Related Liver Damage,106.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546077&utm_source=EC&utm_medium=Connect
"In this single-center case series of 221 hospitalized patients with confirmed COVID-19 in Wuhan, China, 55 severe patients with elder age and chronic comorbidities, developed more than one complication. The mortality rate was significantly higher in the severe patients compared to that in the non-severe patients (21.8% vs 0.0%). Older and male patients with higher APACHE II &amp; SOFA scores, elevated PCT level, excessive fluid volume input, as well as the delayed use of corticosteroid might increase the risk of death in ICU.",2020-03-04,581.0,37.0,21,27.6666666666667,"Clinical Features and Treatment of 221 Patients with COVID-19 in Wuhan, China",166.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546095&utm_source=EC&utm_medium=Connect
"Atypical clinical findings of pregnant women with COVID-19 could increase the difficulty in initial identification. Consolidation was more common in the pregnant groups. The clinically-diagnosed cases were vulnerable to more pulmonary involvement. CT was the modality of choice for early detection, severity assessment, and timely therapeutic effects evaluation for the cases with epidemic and clinical features of COVID-19 with or without laboratory confirmation. The exposure history and clinical symptoms were more helpful for screening in children versus chest CT.",2020-03-04,475.0,20.0,21,22.6190476190476,Clinical and CT Imaging Features of the COVID-19 Pneumonia: Focus on Pregnant Women and Children,141.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546094&utm_source=EC&utm_medium=Connect
"A total of 371 records from 13,021 hits were retained in this study. Most (71.43%) were journal articles. The mean number of authors and citations per document was 4.8 and 1.283, respectively. Also, the top 15 scholars and journals were identified based on the frequency of publications. Networks of contributing authors, institutions, and countries were visualized in maps, which highlight discrete developments in research collaborations. Major areas identified through evaluating keywords and text data included genetic, epidemiological, zoonotic, and other biological topics associated with COVID-19.",2020-03-04,317.0,44.0,21,15.0952380952381,Current Status of Global Research on Novel Coronavirus Disease (COVID-19): A Bibliometric Analysis and Knowledge Mapping,1036.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3547824&utm_source=EC&utm_medium=Connect
"Given that population movement plays an important role in spreading of the novel coronavirus disease (COVID-19), there is high risk for emerging new outbreak centers, large cities with huge amount of population reflux in particular. Sustained public health interventions should be strengthened for these cities.",2020-03-04,278.0,33.0,21,13.2380952380952,Impact of Population Movement on the Spread of 2019-nCoV in China,67.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546090&utm_source=EC&utm_medium=Connect
The antibody detection offers vital clinical information during the course of SARS-CoV-2 infection. The findings provide strong empirical support for the routine application of serological testing in the diagnosis and management of COVID-19 patients.,2020-03-03,5351.0,11.0,22,243.227272727273,Antibody Responses to SARS-CoV-2 in Patients of Novel Coronavirus Disease 2019,1006.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546052&utm_source=EC&utm_medium=Connect
"The identified independent risk factors (elevated TnT, CRP, and D-dimer, and declined PaO2/FiO2) suggest that fatality due to COVID-19 was associated with multiple organ dysfunction. The independent risk factors found in this research can help identify the high-risk patients of COVID-19 with poor prognosis in order to offer early warning and intervention, and also help funnel the flow of patient with COVID-19.",2020-03-03,1182.0,32.0,22,53.7272727272727,"Clinical Characteristics And Risk Factors For Fatal Outcome in Patients With 2019-Coronavirus Infected Disease (COVID-19) in Wuhan, China",342.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546069&utm_source=EC&utm_medium=Connect
Children are susceptible to infection by SARS-CoV-2. Our preliminary findings show that children develop a milder form of the disease with a less-aggressive clinical course than do adults.,2020-03-03,784.0,10.0,22,35.6363636363636,"Coronavirus Disease-19 Among Children Outside Wuhan, China",199.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546071&utm_source=EC&utm_medium=Connect
The DL-based quantitative CT model has more efficiency in predicting the severity of COVID-19 than quantitative CT parameters and PSI score do.,2020-03-03,743.0,39.0,22,33.7727272727273,Deep Learning-Based Quantitative Computed Tomography Model in Predicting the Severity of COVID-19: A Retrospective Study in 196 Patients,205.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546089&utm_source=EC&utm_medium=Connect
Safety testing of COVID-19 S protein-based B cell vaccines in animal models is strongly encouraged prior to clinical trials to reduce risk of ADE upon virus exposure.,2020-03-03,713.0,109.0,22,32.4090909090909,Medical Countermeasures Analysis of 2019-nCoV and Vaccine Risks for Antibody-Dependent Enhancement (ADE),155.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546070&utm_source=EC&utm_medium=Connect
"The treatment approaches and responses to treatment were different in COVID-19 patients with different outcomes. Anti-viral drugs and antibiotics have been widely used in the treatment of patients with COVID-19. Corticosteroid therapy, γ-globulin and invasive ventilation were more frequently used in death group. The patients with lower lymphocyte counts were more likely to be given corticosteroids. After corticosteroid therapy, lymphocytes of survivors revived and a longer hospitalization was observed, which was more likely to be the severity of disease. However, for death patients, lymphocytes remained unchanged after corticosteroid treatment. The recovery of lymphocyte counts and temperature after corticosteroid treatment may be used as predictors of prognosis of patients with COVID-19.",2020-03-03,648.0,21.0,22,29.4545454545455,"The Treatment and Outcomes of Patients with COVID-19 in Hubei, China: A Multi-Centered, Retrospective, Observational Study",193.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546060&utm_source=EC&utm_medium=Connect
" The main causes of death were acute respiratory injury and ARDS. Risk factors were ages and underlying diseases. The full spectrum of disease severity (range from asymptomatic, to symptomatic extents, requiring hospitalization or fatal), treatment and prevention require further investigations.",2020-03-03,540.0,31.0,22,24.5454545454545,"Clinical Characteristics of Deceased Patients Infected with SARS-CoV-2 in Wuhan, China",159.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546043&utm_source=EC&utm_medium=Connect
"The COVID-19 had a low mortality rate in Jiangsu Province, China. In patients with severe COVID-19 pneumonia, early comprehensive care and oxygen support therapy are the key to success treatment. With non-invasive ventilation or high flow nasal cannula combined prone ventilation might additionally improve hypoxia and protect organ function.",2020-03-03,504.0,32.0,22,22.9090909090909,"Early and Critical Care in Severe Patients with COVID-19 in Jiangsu Province, China: A Descriptive Study",115.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546056&utm_source=EC&utm_medium=Connect
 Cases exported outside Wuhan being less severe indicates possible diminishing virulence of the virus in the process of transmission. Yet persistent positive RNA in feces after negative throat swabs suggests a possible prolonged transmission period that challenges current quarantine practices. ,2020-03-03,424.0,35.0,22,19.2727272727273,"Comparison of Epidemiological and Clinical Features of Patients with Coronavirus Disease (COVID-19) in Wuhan and Outside Wuhan, China",107.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546082&utm_source=EC&utm_medium=Connect
The epidemic of COVID-19 has been primarily contained in China. The fight against this epidemic in China provided valuable experiences for the rest of the world. The strict measures need to be taken as earlier as possible to prevent its spreading.,2020-03-03,405.0,25.0,22,18.4090909090909,The Epidemiological Trends of Coronavirus Disease 2019 in China,124.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546054&utm_source=EC&utm_medium=Connect
Combination of RT-PCR and CT with the highest sensitivity is an optimal pattern to screen COVID-19. RT-PCR is superior to CT in diagnosing mild infections. Stool RT-PCR should be considered as an item for improving discovery rate and hospital discharge. This study shed light for optimizing scheme of screening and monitoring of SARS-CoV-2 infection.,2020-03-03,403.0,5.0,22,18.3181818181818,Application and Optimization of RT-PCR in Diagnosis of SARS-CoV-2 Infection,105.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546086&utm_source=EC&utm_medium=Connect
"Low serum cholesterol level in the patients with COVID-19 in Wenzhou, China. Altered serum cholesterol provide important information, and is meaningful to understand the disease.",2020-03-02,12541.0,24.0,23,545.260869565217,"Low Serum Cholesterol Level Among Patients with COVID-19 Infection in Wenzhou, China",1288.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544826&utm_source=EC&utm_medium=Connect
"The clinical characteristics of COVID-19 patients at the onset became partially different as the novel coronavirus spreads over time and generations, positive infection even appeared in patients after discharge. Findings from this study suggest that initial symptoms of recently infected patients seem more insidious. All provide clues that the new coronavirus may gradually evolve into an influenza-like virus, or it may be latent in some asymptomatic carrier for a long time.",2020-03-02,3336.0,16.0,23,145.04347826087,Caution: Clinical Characteristics of COVID-19 Patients Are Changing at Admission,480.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546044%20&utm_source=EC&utm_medium=Connect
"The clinical characteristics of COVID-19 patients at the onset became partially different as the novel coronavirus spreads over time and generations, positive infection even appeared in patients after discharge. Findings from this study suggest that initial symptoms of recently infected patients seem more insidious. All provide clues that the new coronavirus may gradually evolve into an influenza-like virus, or it may be latent in some asymptomatic carrier for a long time.",2020-03-02,3336.0,16.0,23,145.04347826087,Caution: Clinical Characteristics of COVID-19 Patients Are Changing at Admission,480.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546044&utm_source=EC&utm_medium=Connect
"Compared with non-severe patients with COVID-19, severe patients commonly had neurologic symptoms manifested as acute cerebrovascular diseases, impaired consciousness and skeletal muscle injury.",2020-03-02,3333.0,18.0,23,144.913043478261,"Neurological Manifestations of Hospitalized Patients with COVID-19 in Wuhan, China: A Retrospective Case Series Study",863.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544840&utm_source=EC&utm_medium=Connect
"SARS-CoV-2 might mainly act on lymphocytes, especially T lymphocytes, and induce a cytokine storm in the body, generate a series of immune responses. Surveillance of NLR and lymphocyte subsets is helpful in the early screening of critical illness, diagnosis and treatment of COVID-19.",2020-03-02,1178.0,23.0,23,51.2173913043478,"Dysregulation of Immune Response in Patients with COVID-19 in Wuhan, China",299.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3541136&utm_source=EC&utm_medium=Connect
"GGO (48, 85.7%), vascular enlargement (44, 78.6%) were the most frequent signs in patients with COVID-19. 64.3% of the margins of the lesions were uneasily differentiated. No significant correlations were found in terms of leucocytes, neutrophils, lymphocytes, platelets and C-reactive protein. In contrast, the uneasily differentiated margin was negative correlated with the Ct value (r=-0.283, P=0.042). In another word, an uneasily differentiated margin indicated a lower Ct value (P=0.043). Patients with a lower Ct value were likely to present a progress follow-up change (P=0.022). The Ct value at baseline could predict a progress follow-up changes with an AUC of 0.685 (Cut-off value=29.48). All the 4 with normal CT findings presented new lesion(s) on follow-up CT scans.",2020-03-02,653.0,31.0,23,28.3913043478261,The Viral Load of 2019 Novel Coronavirus (COVID-19) Has the Potential to Predict the Clinical Outcomes,134.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546047&utm_source=EC&utm_medium=Connect
"GGO (48, 85.7%), vascular enlargement (44, 78.6%) were the most frequent signs in patients with COVID-19. 64.3% of the margins of the lesions were uneasily differentiated. No significant correlations were found in terms of leucocytes, neutrophils, lymphocytes, platelets and C-reactive protein. In contrast, the uneasily differentiated margin was negative correlated with the Ct value (r=-0.283, P=0.042). In another word, an uneasily differentiated margin indicated a lower Ct value (P=0.043). Patients with a lower Ct value were likely to present a progress follow-up change (P=0.022). The Ct value at baseline could predict a progress follow-up changes with an AUC of 0.685 (Cut-off value=29.48). All the 4 with normal CT findings presented new lesion(s) on follow-up CT scans.",2020-03-02,653.0,31.0,23,28.3913043478261,The Viral Load of 2019 Novel Coronavirus (COVID-19) Has the Potential to Predict the Clinical Outcomes,134.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546047&utm_source=EC&utm_medium=Connect
"Ten different clusters were identified and ACE2 was mainly expressed in proximal tubule and glomerular parietal epithelial cells. From GO &amp; KEGG enrichment analysis, imbalance of ACE2 expression, renin-angiotensin system (RAS) activation, and neutrophil-related processes were the main issue of COVID-19 leading kidney injury.",2020-03-02,617.0,29.0,23,26.8260869565217,Single Cell RNA Sequencing Analysis of Human Kidney Reveals the Presence of ACE2 Receptor: A Potential Pathway of COVID-19 Infection,200.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544810&utm_source=EC&utm_medium=Connect
"Our findings provide the evidence that the CT imaging score can be used to reflect disease severity, and the multiple enzyme release, inflammation storm, and hypercoagulability are prominent indicators to monitor the changes of disease progression and prognosis of COVID-19, which are critical to explain the multiple organ injuries or death in clinic and also guide therapeutic strategy.",2020-03-02,615.0,31.0,23,26.7391304347826,"Multiple Enzyme Release, Inflammation Storm and Hypercoagulability Are Prominent Indicators For Disease Progression In COVID-19: A Multi-Centered, Correlation Study with CT Imaging Score",195.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544837&utm_source=EC&utm_medium=Connect
"A total of 520 participants were recruited into the analysis; 61.5% were females, the average age was 45.2 years, 72.9% were married, and 88.4% were of Thai nationality. Regarding COVID-19, 73.4% had poor knowledge of disease prevention and control, 28.5% had poor attitudes toward disease prevention and control, and only 13.6% had strong preparedness skills to prevent and control the disease. Several factors were associated with poor knowledge, poor attitudes and poor preparedness skills in response to the epidemic of COVID-2019, such as education, occupation, income, and channel of receiving public health information.",2020-03-02,551.0,10.0,23,23.9565217391304,"Knowledge, Attitude and Preparedness to Respond to the 2019 Novel Coronavirus (COVID-19) Among the Bordered Population of Northern Thailand in the Early Period of the Outbreak: A Cross-Sectional Study",189.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546046&utm_source=EC&utm_medium=Connect
"A total of 520 participants were recruited into the analysis; 61.5% were females, the average age was 45.2 years, 72.9% were married, and 88.4% were of Thai nationality. Regarding COVID-19, 73.4% had poor knowledge of disease prevention and control, 28.5% had poor attitudes toward disease prevention and control, and only 13.6% had strong preparedness skills to prevent and control the disease. Several factors were associated with poor knowledge, poor attitudes and poor preparedness skills in response to the epidemic of COVID-2019, such as education, occupation, income, and channel of receiving public health information.",2020-03-02,551.0,10.0,23,23.9565217391304,"Knowledge, Attitude and Preparedness to Respond to the 2019 Novel Coronavirus (COVID-19) Among the Bordered Population of Northern Thailand in the Early Period of the Outbreak: A Cross-Sectional Study",189.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546046&utm_source=EC&utm_medium=Connect
"On the basis of this study, we generated the pyramid of COVID-19 infection, and found the pattern of infection had shifted from the imported to indigenous gradually, and then the daily new cases was declined quickly, this attributed to the government’s potent prevent and control, the epidemic is clearly under control in China. Preventing import from outside and controlling export on inside should being a basic principle for resisting COVID-19 infection, however, if out of control, the region or area will be chaos.",2020-03-02,411.0,24.0,23,17.8695652173913,"Epidemiological and Clinical Characteristics of COVID-19 Infection Outside Wuhan, China: A Multicenter Study",90.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546040&utm_source=EC&utm_medium=Connect
Public health interventions implemented at both the social and personal levels are effective in preventing outbreaks of COVID-19 in Wuhan and other provinces. Model prediction results suggested that COVID-19 will be contained around the end of February 2020 in China.,2020-03-02,409.0,60.0,23,17.7826086956522,Trends in Transmissibility of 2019 Novel Coronavirus-Infected Pneumonia in Wuhan and 29 Provinces in China,58.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544821&utm_source=EC&utm_medium=Connect
"The median age of the 101 patients was 51.0 years (IQR, 37.0-61.0) and 34 patients [33.6%] were medical staffs. On admission, the number of patients with uncomplicated illness, mild, severe and critical pneumonia were 1 [1%], 86 [85%], 11[11%] and 2[2%], and another could not be unclassified because of pregnancy. 44 cases [51%] of the 86 mild pneumonia progressed to severe condition with 4 ( IQR, 1-7) days in median, and 9 patients [10%] further worsened to critical pneumonia within 4 (IQR, 3-8) days; 2 of the 11 severe patients improved to mild condition while 3 others deteriorated. Significant differences were observed among groups of different clinical stages in numbers of influenced pulmonary segments (6 (IQR, 2-12) vs 12 (IQR,6-15) vs 17 (IQR, 10-18), P &lt;0.001). A significantly upward trend was witnessed in ground-glass opacities overlapped with striped shadows (33% vs 42% vs 55% vs 80%, P &lt;0.001) while pure ground-glass opacities gradually decreased with regard to radiologic patterns. While lymphocytes, prealbumin and albumin showed a downward trend as disease progressed from mild to severe or critical condition, an increasing trend was found in white blood cells, C-reactive protein, neutrophils and lactate dehydrogenase. And the proportions of serum amyloid A &gt; 300 mg/L in mild, severe and critical conditions were 18%, 46% and 71%, respectively.",2020-03-02,360.0,14.0,23,15.6521739130435,"Characteristics of Disease Progress in 101 Hospitalized Patients with Corona Virus Disease 2019 in Wuhan, China",84.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543620&utm_source=EC&utm_medium=Connect
"In the virus-infected patient cohort, a much higher fatality rate compared to ~3% among general infected public, suggests that surgery is a considerable risk factor, pointing to the necessity to postpone lung resection on patients during the epidemic.",2020-03-02,295.0,22.0,23,12.8260869565217,"Clinical Characteristics of Seven Cases Infected with SARS-CoV-2 in the Perioperative Period of Lung Resection: A Retrospective Study from a Single Thoracic Department in Wuhan, China",54.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546042&utm_source=EC&utm_medium=Connect
"In the virus-infected patient cohort, a much higher fatality rate compared to ~3% among general infected public, suggests that surgery is a considerable risk factor, pointing to the necessity to postpone lung resection on patients during the epidemic.",2020-03-02,295.0,22.0,23,12.8260869565217,"Clinical Characteristics of Seven Cases Infected with SARS-CoV-2 in the Perioperative Period of Lung Resection: A Retrospective Study from a Single Thoracic Department in Wuhan, China",54.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3546042&utm_source=EC&utm_medium=Connect
"We identified in our study of 112 hospitalized patients that CD3+, CD4+ and CD8+ T lymphocyte counts were useful markers to predict the clinical progression of SARS-CoV-2 pneumonia at different stages. Considering the large number of patients with severe pneumonia, and the urgency of this ongoing global public health emergency, the counts of lymphocyte and its subsets from laboratory examinations could be easy and useful indicators for physicians to determine a timely and proper therapeutic strategy for patients and an early warning sign for predicting or reducing mortality in SARS-CoV-2-infected pneumonia.",2020-03-02,232.0,29.0,23,10.0869565217391,"Decreased Counts of T Lymphocyte Subsets Predict Prognosis in SARS-CoV-2-Infected Pneumonia in Wuhan, China: A Retrospective Study",59.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544850&utm_source=EC&utm_medium=Connect
" There is no clinical difference between female and male patients with early-stage NCP, and most patients were never-smoker. Suspected patients with the older age, longer time from onset to admission, presence of familial clusters, lower white blood cell count and increased AST at screening should raise concern on NCP. Timely identification and treatment are crucial in order to decrease incidence of severe and critical cases and fatality rate of the disease.",2020-03-02,224.0,30.0,23,9.73913043478261,Early-Stage Vigilance of Novel Coronavirus Pneumonia,47.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3544820&utm_source=EC&utm_medium=Connect
"COVID-19 was of clustering onset, and can result in severe and even fatal respiratory diseases such as acute respiratory distress syndrome. Combination therapy may be effective.",2020-02-28,634.0,25.0,26,24.3846153846154,Clinical Characteristics of 457 Cases with Coronavirus Disease 2019,177.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543581&utm_source=EC&utm_medium=Connect
" The age of the susceptible population in Zhejiang province is consistent with that of whole China. The CT positive rate in Zhejiang province is higher than that in Wuhan. Compared with Wuhan, Zhejiang province has seen more asymptomatic infections, and fever and cough are more common in Zhejiang province. During the period of disease prevention and control, great attention should be paid to the cities with non-exporting cases.",2020-02-28,611.0,15.0,26,23.5,"Epidemiological and Clinical Characteristics of 944 Cases of 2019 Novel Coronavirus Infection of Non-COVID-19 Exporting City, Zhejiang, China",198.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543604&utm_source=EC&utm_medium=Connect
" The asymptomatic carriers identified from close contacts were prone to be mildly ill during hospitalization. However, the communicable period could be up to three weeks and the communicated patients could develop severe illness. These results highlighted the importance of close contact tracing and longitudinally surveillance via virus nucleic acid tests. Further isolation recommendation and continuous nucleic acid tests may also be recommended to the patients discharged.   ",2020-02-28,564.0,16.0,26,21.6923076923077,"Clinical Characteristics of 24 Asymptomatic Infections with COVID-19 Screened Among Close Contacts in Nanjing, China",90.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543598&utm_source=EC&utm_medium=Connect
"The COVID-19 infection was a mass onset, with a strong concealment that is difficult to detect in the early stages, and early detection can reduce the harm of the disease. Due to traffic control and tight medical resources, the inability to treat in a timely manner will lead to worsening of the disease of elderly patients, and even fatal respiratory diseases.",2020-02-28,547.0,29.0,26,21.0384615384615,"Epidemiological and Clinical Characteristics of 124 Elderly Outpatients with COVID-19 in Wuhan, China",159.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543596&utm_source=EC&utm_medium=Connect
"The median age of COVID-19 patients recruited for the study was 52.5 years (IQR 39.3-61). Fever (83.3%), cough (54.2%) and expectoration (25.0%) were the most common clinical manifestations. The detection rates of sputum (95.65%, 22/23) and saliva (88.09%, 37/42) were significantly higher than in throat swabs (41.54%, 27/65) and nasal swabs (72.31%, 47/65) ( P &lt;0.001). Further, the Ct Value from sputum, saliva and nasal swabs were significantly higher than in throat swabs, whereas no significant difference was observed between sputum and saliva samples.",2020-02-28,484.0,18.0,26,18.6153846153846,Saliva as a Diagnostic Specimen for SARS-CoV-2 by a PCR-Based Assay: A Diagnostic Validity Study,132.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543605&utm_source=EC&utm_medium=Connect
"The ACP index can predict COVID-19 related short-term mortality, which may be a useful and convenient tool for quickly establishing a COVID-19 hierarchical management system that can greatly reduce the medical burden and therefore mortality in highly endemic areas.",2020-02-28,452.0,17.0,26,17.3846153846154,"ACP Risk Grade: A Simple Mortality Index for Patients with Confirmed or Suspected Severe Acute Respiratory Syndrome Coronavirus 2 Disease (COVID-19) During the Early Stage of Outbreak in Wuhan, China",89.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543603&utm_source=EC&utm_medium=Connect
"The present study describes common abnormalities in breath sounds and their distribution characteristics using electronic stethoscope, which to some extent provides insights into the pathophysiological and clinical process of the disease, suggesting that electronic auscultation can be readily applied at bedside in isolation wards to aid diagnosis and management of COVID-19 patients.",2020-02-28,443.0,17.0,26,17.0384615384615,Characteristics of Pulmonary Auscultation in Patients   with 2019 Novel Coronavirus in China,124.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543593&utm_source=EC&utm_medium=Connect
"As regards to S-IgM, N-IgM, S-IgG and N-IgG, the detection positive rates in 49 patients were 38.8%, 51.0%,63.3% and 40.8% respectively. The median detection times for those antibodies were the 10th, 9th, 9th, or 9th days’ time point after the illness onset. The Kappa test results showed that the consistency of two IgM detection and two IgG detection are poor, the Kappa index are 0.408 and 0.344 respectively. 73.5%, 14.3% and 10.2% patients had high levels IL-6, IL-10 and INF-γ results. We also found that patients who lived in Wuhan or traveling to Wuhan in the short term had higher S-IgM (p=0.045) and N-IgM (p=0.002) concentrations than those who stayed in other cities. IL-6 concentrations had significant differences between severe patients and mild patients (p=0.0391). IL-10 concentration elevated in patients with background diseases compared with those no background diseases patients (p=0.0122).",2020-02-28,434.0,17.0,26,16.6923076923077,Immunoglobulin G/M and Cytokines Detections in Continuous Sera from Patients with Novel Coronaviruses (2019-nCoV) Infection,122.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543609&utm_source=EC&utm_medium=Connect
"Although the epidemic of COVID-19 in China started to decelerate from mid-February, maintaining the current declines remains a challenge, especially when strict social distancing ends.",2020-02-28,417.0,10.0,26,16.0384615384615,Epidemiological Benchmarks of the COVID-19 Outbreak Control in China After Wuhan's Lockdown: A Modelling Study with an Empirical Approach,55.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543589&utm_source=EC&utm_medium=Connect
"Multiple small patchy/strip shaped GGO in bilateral and subpleural lungs are the characteristic features of early stage CT of COVID-19 pneumonia, which combined with clinical and laboratory data can help rapid diagnosis and guide early clinical management for COVID-19 pneumonia patients.",2020-02-28,409.0,31.0,26,15.7307692307692,Coronavirus Disease 2019 (COVID-19) Pneumonia: Early Stage Chest CT Imaging Features and Clinical Relevance,125.0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543606&utm_source=EC&utm_medium=Connect
